Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
TrainNeiDan						0	1	1	1	1	我绝对不练御丹	我极少练御丹	我偶尔会练御丹	我有时候练御丹	我经常练御丹
TrainHuTi											我绝对不练护体	我极少练护体	我偶尔会练护体	我有时候练护体	我经常练护体
TrainLingZhi											我绝对不练灵智	我极少练灵智	我偶尔会练灵智	我有时候练灵智	我经常练灵智
TrainShuFa						0	1	1	1	1	我绝对不练术法	我极少练术法	我偶尔会练术法	我有时候练术法	我经常练术法
HelpPlantD											我绝对不会去药田撒尿	我极少去药田撒尿	我偶尔会去药田撒尿	我有时候会去药田撒尿	我经常会去药田撒尿
CarryOuterBodyToDest											我绝对不会把外门尸体搬到搬运点	我极少把外门尸体搬到搬运点	我偶尔会把外门尸体搬到搬运点	我有时候会把外门尸体搬到搬运点	我经常把外门尸体搬到搬运点
CarryInnerBodyToDest											我绝对不会把内门尸体搬到搬运点	我极少把内门尸体搬到搬运点	我偶尔会把内门尸体搬到搬运点	我有时候会把内门尸体搬到搬运点	我经常把内门尸体搬到搬运点
Feed_Item_Dan_Happiness											我绝对不喂内门弟子极乐丹	我极少喂内门弟子极乐丹	我偶尔会喂内门弟子极乐丹	我有时候喂内门弟子极乐丹	我经常喂内门弟子极乐丹
Feed_Item_Dan_PracticeSpeed											我绝对不喂内门弟子黄芽丹	我极少喂内门弟子黄芽丹	我偶尔会喂内门弟子黄芽丹	我有时候喂内门弟子黄芽丹	我经常喂内门弟子黄芽丹
Feed_Item_Dan_CalmDown											我绝对不喂内门弟子清心丹	我极少喂内门弟子清心丹	我偶尔会喂内门弟子清心丹	我有时候喂内门弟子清心丹	我经常喂内门弟子清心丹
Feed_Item_LingStone											我绝对不喂内门弟子灵石	我极少喂内门弟子灵石	我偶尔会喂内门弟子灵石	我有时候喂内门弟子灵石	我经常喂内门弟子灵石
Feed_Item_LingCrystal											我绝对不喂内门弟子灵晶	我极少喂内门弟子灵晶	我偶尔会喂内门弟子灵晶	我有时候喂内门弟子灵晶	我经常喂内门弟子灵晶
BiteExpel											我绝对不会攻击凡人	我极少攻击凡人	我偶尔会攻击凡人	我有时候会攻击凡人	我经常攻击凡人，并会将其击杀
AtkDizzyExpel											我绝对不会攻击昏迷的凡人	我极少去攻击昏迷的凡人	我偶尔会去攻击昏迷的凡人	我有时会去攻击昏迷的凡人	我经常攻击昏迷的凡人
CarryMortalToDest											我绝对不会把昏迷凡人搬到搬运点	我极少把昏迷凡人搬到搬运点	我偶尔会把昏迷凡人搬到搬运点	我有时候会把昏迷凡人搬到搬运点	我经常把昏迷凡人搬到搬运点
CarryMortalBodyToDest											我绝对不会把凡人尸体搬到搬运点	我极少把凡人尸体搬到搬运点	我偶尔会把凡人尸体搬到搬运点	我有时候会把凡人尸体搬到搬运点	我经常把凡人尸体搬到搬运点
Eat_Item_SnakeGallbladder											我绝对不吃蛇胆，除非喂我	我在能吸收药物的时候，偶尔会吃蛇胆	我在能吸收药物的时候，有可能会吃蛇胆	我在能吸收药物的时候，有时候会吃蛇胆	我在能吸收药物的时候，经常会吃蛇胆
Eat_Item_BearGallbladder											我绝对不吃熊胆，除非喂我	我在能吸收药物的时候，偶尔会吃熊胆	我在能吸收药物的时候，有可能会吃熊胆	我在能吸收药物的时候，有时候会吃熊胆	我在能吸收药物的时候，经常会吃熊胆
Eat_Item_RedGinseng											我绝对不吃赤参，除非喂我	我在能吸收药物的时候，偶尔会吃赤参	我在能吸收药物的时候，有可能会吃赤参	我在能吸收药物的时候，有时候会吃赤参	我在能吸收药物的时候，经常会吃赤参
Eat_Item_PurpleGanodermaLucidum											我绝对不吃紫芝，除非喂我	我在能吸收药物的时候，偶尔会吃紫芝	我在能吸收药物的时候，有可能会吃紫芝	我在能吸收药物的时候，有时候会吃紫芝	我在能吸收药物的时候，经常会吃紫芝
Eat_Item_TuEssence											我绝对不吃赭黄精，除非喂我	我在能吸收药物的时候，偶尔会吃赭黄精	我在能吸收药物的时候，有可能会吃赭黄精	我在能吸收药物的时候，有时候会吃赭黄精	我在能吸收药物的时候，经常会吃赭黄精
Eat_Item_HuoEssence											我绝对不吃朱果，除非喂我	我在能吸收药物的时候，偶尔会吃朱果	我在能吸收药物的时候，有可能会吃朱果	我在能吸收药物的时候，有时候会吃朱果	我在能吸收药物的时候，经常会吃朱果
Eat_Item_ShuiEssence											我绝对不吃五色金莲，除非喂我	我在能吸收药物的时候，偶尔会吃五色金莲	我在能吸收药物的时候，有可能会吃五色金莲	我在能吸收药物的时候，有时候会吃五色金莲	我在能吸收药物的时候，经常会吃五色金莲
Eat_Item_JinEssence											我绝对不吃琅琊果，除非喂我	我在能吸收药物的时候，偶尔会吃琅琊果	我在能吸收药物的时候，有可能会吃琅琊果	我在能吸收药物的时候，有时候会吃琅琊果	我在能吸收药物的时候，经常会吃琅琊果
Eat_Item_MuEssence											我绝对不吃木枯藤，除非喂我	我在能吸收药物的时候，偶尔会吃木枯藤	我在能吸收药物的时候，有可能会吃木枯藤	我在能吸收药物的时候，有时候会吃木枯藤	我在能吸收药物的时候，经常会吃木枯藤
Eat_Item_LifeStream											我绝对不吃长生泉，除非喂我	我在能吸收药物的时候，偶尔会吃长生泉	我在能吸收药物的时候，有可能会吃长生泉	我在能吸收药物的时候，有时候会吃长生泉	我在能吸收药物的时候，经常会吃长生泉
Eat_Item_LongEgg											我绝对不吃蛟龙的卵，除非喂我	我偶尔会吃蛟龙的卵	我有可能会吃蛟龙的卵	我有时候会吃蛟龙的卵	我经常会吃蛟龙的卵
Eat_Item_FengEgg											我绝对不吃凤凰的卵，除非喂我	我偶尔会吃凤凰的卵	我有可能会吃凤凰的卵	我有时候会吃凤凰的卵	我经常会吃凤凰的卵
Eat_Item_DragonShit											我绝对不吃天龙砂，除非喂我	我偶尔会吃天龙砂	我有可能会吃天龙砂	我有时候会吃天龙砂	我经常会吃天龙砂
Eat_Item_Jiaozi											我绝对不吃饺子，除非喂我	我偶尔会吃饺子	我有可能会吃饺子	我有时候会吃饺子	我经常会吃饺子
Eat_Item_BossFeng_Meat											我绝对不吃凶凤的血肉，除非喂我	我偶尔会吃凶凤的血肉	我有可能会吃凶凤的血肉	我有时候会吃凶凤的血肉	我经常会吃凶凤的血肉
Eat_Item_BossLong_Meat											我绝对不吃蛟龙的血肉，除非喂我	我偶尔会吃蛟龙的血肉	我有可能会吃蛟龙的血肉	我有时候会吃蛟龙的血肉	我经常会吃蛟龙的血肉
Eat_Item_BossZhuLong_Meat											我绝对不吃原初血肉，除非喂我	我偶尔会吃原初血肉	我有可能会吃原初血肉	我有时候会吃原初血肉	我经常会吃原初血肉
Eat_Item_Cake											我绝对不吃面饼，除非喂我	我偶尔会吃面饼	我有可能会吃面饼	我有时候会吃面饼	我经常会吃面饼
Eat_Item_MonsterBlood											我绝对不吃妖灵血，除非喂我	我在能吸收药物的时候，偶尔会吃妖灵血	我在能吸收药物的时候，有可能会吃妖灵血	我在能吸收药物的时候，有时候会吃妖灵血	我在能吸收药物的时候，经常会吃妖灵血
Eat_Item_EarthEssence											我绝对不吃地母灵液，除非喂我	我在能吸收药物的时候，偶尔会吃地母灵液	我在能吸收药物的时候，有可能会吃地母灵液	我在能吸收药物的时候，有时候会吃地母灵液	我在能吸收药物的时候，经常会吃地母灵液
Eat_Item_SilverGrit											我绝对不吃寒晶沙，除非喂我	我在能吸收药物的时候，偶尔会吃寒晶沙	我在能吸收药物的时候，有可能会吃寒晶沙	我在能吸收药物的时候，有时候会吃寒晶沙	我在能吸收药物的时候，经常会吃寒晶沙
Eat_Item_CopperGrit											我绝对不吃火铜砂，除非喂我	我在能吸收药物的时候，偶尔会吃火铜砂	我在能吸收药物的时候，有可能会吃火铜砂	我在能吸收药物的时候，有时候会吃火铜砂	我在能吸收药物的时候，经常会吃火铜砂
Eat_Item_Cinnabar											我绝对不吃朱砂，除非喂我	我在能吸收药物的时候，偶尔会吃朱砂	我在能吸收药物的时候，有可能会吃朱砂	我在能吸收药物的时候，有时候会吃朱砂	我在能吸收药物的时候，经常会吃朱砂
Eat_Item_LingMuXueJie											我绝对不吃灵木血竭，除非喂我	我在能吸收药物的时候，偶尔会吃灵木血竭	我在能吸收药物的时候，有可能会吃灵木血竭	我在能吸收药物的时候，有时候会吃灵木血竭	我在能吸收药物的时候，经常会吃灵木血竭
Eat_Item_EarthEssence_1											我绝对不吃灵髓脂，除非喂我	我在能吸收药物的时候，偶尔会吃灵髓脂	我在能吸收药物的时候，有可能会吃灵髓脂	我在能吸收药物的时候，有时候会吃灵髓脂	我在能吸收药物的时候，经常会吃灵髓脂
Eat_Item_EarthEssence1_1											我绝对不吃血髓脂，除非喂我	我在能吸收药物的时候，偶尔会吃血髓脂	我在能吸收药物的时候，有可能会吃血髓脂	我在能吸收药物的时候，有时候会吃血髓脂	我在能吸收药物的时候，经常会吃血髓脂
Eat_Item_Healroot											我绝对不吃药草，除非喂我	我在能吸收药物的时候，偶尔会吃药草	我在能吸收药物的时候，有可能会吃药草	我在能吸收药物的时候，有时候会吃药草	我在能吸收药物的时候，经常会吃药草
Eat_Item_Mint											我绝对不吃清心草，除非喂我	我在能吸收药物的时候，偶尔会吃清心草	我在能吸收药物的时候，有可能会吃清心草	我在能吸收药物的时候，有时候会吃清心草	我在能吸收药物的时候，经常会吃清心草
Eat_Item_MagicHerb											我绝对不吃灵仙草，除非喂我	我在能吸收药物的时候，偶尔会吃灵仙草	我在能吸收药物的时候，有可能会吃灵仙草	我在能吸收药物的时候，有时候会吃灵仙草	我在能吸收药物的时候，经常会吃灵仙草
Eat_Item_Laxative											我绝对不吃通泄散，除非喂我	我在能吸收药物的时候，偶尔会吃通泄散	我在能吸收药物的时候，有可能会吃通泄散	我在能吸收药物的时候，有时候会吃通泄散	我在能吸收药物的时候，经常会吃通泄散
ESkill											我不会主动使用对敌方的术法	我会对灵气值最低的敌方释放技能	我会对灵气值百分比最低的敌方释放技能	我会对灵气值最高的敌方释放技能	我会对随机敌方释放技能
FSkill											我不会主动使用对友方的术法	我会对灵气值最低的友方释放技能	我会对灵气值百分比最低的友方释放技能	我会对灵气值最高的友方释放技能	我会对随机友方释放技能
Eat_Item_Bamboo											我绝对不吃竹竿，除非喂我	我偶尔会吃竹竿	我有可能会吃竹竿	我有时候会吃竹竿	我在经常会吃竹竿
Eat_Item_BambooShoot											我绝对不吃竹笋，除非喂我	我偶尔会吃竹笋	我有可能会吃竹笋	我有时候会吃竹笋	我经常会吃竹笋
Eat_Item_WuDang_HuangJingFen											我绝对不吃黄精粉，除非喂我	我在能吃药物的时候，偶尔会吃黄精粉	我在能吃药物的时候，有可能会吃黄精粉	我在能吃药物的时候，有时候会吃黄精粉	我在能吃药物的时候，经常会吃黄精粉
Eat_Item_Dan_WuQiNoHunger2											我绝对不吃五气辟谷丹，除非喂我	我在能吃药物的时候，偶尔会吃五气辟谷丹	我在能吃药物的时候，有可能会吃五气辟谷丹	我在能吃药物的时候，有时候会吃五气辟谷丹	我在能吃药物的时候，经常会吃五气辟谷丹
Eat_Item_Dan_SanHuaHuangJing											我绝对不吃三花黄精丸，除非喂我	我在能吃药物的时候，偶尔会吃三花黄精丸	我在能吃药物的时候，有可能会吃三花黄精丸	我在能吃药物的时候，有时候会吃三花黄精丸	我在能吃药物的时候，经常会吃三花黄精丸
