ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
19	Human	0	0	铁匠铺童工	[NAME]从小被卖给铁匠铺当童工，[IT]听着叮叮当当的声音长大，渴望长大成为真正的铁匠。		0		1											2		4,1						Craftsman					
20	Human	0	0	水猴子	[NAME]是渔船上长大的孩子，[IT]从小就喜欢水。童年的经历也让[IT]拥有矫健的身手。		0	1	1																								
21	Human	0	0	音乐天才	[NAME]出生在一个音乐家庭，[IT]继承了优秀的基因，拥有非常超群的艺术天赋。		0			3											8							Artist					
22	Human	0	0	邪魔之子	[NAME]的母亲被邪魔所诱骗，因而怀孕生下[IT]。[IT]的身体里也流着一半邪魔的血脉，这让[IT]长相难看，受尽歧视。		0	3	2	-3		-2	4	4	-4													BanParents	UglyFace2				
23	Human	0	0	生显异像	[NAME]出生秉承世界的气运，天地间风云涌动，金光闪烁，夜如白昼。[IT]注定受到上天眷顾。		0					3																SonOfDestiny					
24	Human	0	0	杀星降世	[NAME]是天上七杀星转世，天生就是为了杀戮战斗而生。		0	3	3				10,2															BanSpouse	BanParents				
25	Human	0	0	天纵之才	[NAME]聪明绝世，是天纵的奇才。无论学什么，[IT]都能很快精通。但是[IT]却有天生的残疾，经脉残缺，无法修行。		0				4																	MeridianIncomplete					
26	Human	0	0	牧童	[NAME]从小给地主家放牧。但[IT]一直觉得命运对自己不公平，[IT]应该做出一番更大的事业。		0	1			1																						
27	Human	0	0	身残志坚	[NAME]天生智力比较低下，5岁才会说话，10岁才会走路，可以说十分励志。但是[ITS]父母却依然对[IT]充满耐心。\n[NAME]虽然很笨，但是他对所有的事情都充满了兴趣，[IT]愿意付出比别人很多倍的努力来学习如何生活。		0	-2	-2	-2	-4		-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2	-5,2						Strong	Optimistic	Retarded			
28	Human	0	0	小乞儿	[NAME]从小被遗弃，被一帮乞丐捡到养大。从[IT]懂事以来，[IT]就跟随着大家以乞讨为生。\n乞讨生活让[IT]见识了人世的冷漠，也让[IT]特别善于揣摩人心。		0			-1	1				4													Distrust					
29	Human	0	0	贝壳收集者	[NAME]在海边的贫穷渔村长大，[ITS]童年缺乏娱乐，唯一的爱好就是收集在海边的贝壳。		0	2	1																								
30	Human	0	0	儿童间谍	[NAME]长相秀丽可爱，被朝廷选中成为政治间谍，投放到敌国首都刺探情报。\n在培训中，[IT]着重学习了隐藏自己的手段和窃听技巧，并且被灌注了一旦被发现便以身殉国的观念。		0	2		3			4		2													BeautifulFace1					
31	Human	0	1	地主的孩子	[NAME]出生地主家庭，从小四体不勤五谷不分。\n[IT]很小就和家里的丫鬟发生关系，并且乐在其中，这让[IT]本来就孱弱的身体更加虚弱了。		0		-3	1					2						2							HealthOverdraft2					
32	Human	0	0	卖花童	[NAME]的父母经营有一家花店。在[IT]懂事后就常常提着花篮帮父母卖花。频繁的人际交往让[IT]变得外向而活泼，而且颇有魅力。		0			2					4,1				2														
33	Human	0	0	快乐的童年	[NAME]的父母是一个大户人家的旁系后代。[ITS]父母二人都安于平静，虽然继承家业无望但是也乐的清闲，不愁吃穿。\n因此，[NAME]从小被父母陪伴四处玩耍，度过一个快乐的童年。		0			1					2		2				2	2						Optimistic					
34	Human	0	0	野孩子	[NAME]出生在一个山村，[ITS]父母在很小的时候就因为狼祸而死亡。\n[IT]从小吃百家饭长大，无人看顾，终日混迹村头山野。因其身世，[IT]从小缺乏朋友，只和村头一只大黑狗相伴。		0	2	2	-2							4																
35	Human	0	0	酒童	[NAME]家境贫寒，[IT]也从小被父母打发到镇上的酒馆当酒童补贴家用。\n酒馆中多有醉酒的客人，常常对[IT]苛责打骂，有一次[IT]甚至被一个酒客打断了腿。		0	1					2		4													CrippleLeft					
36	Human	0	0	农民的孩子	[NAME]家以务农为生，[IT]从小被父母带到田里方便照料。因此[IT]也耳濡目染的熟知了种植的技巧和知识。		0		1										6														
37	Human	0	0	农民的孩子	[NAME]的父亲是地主家的佃户。分有一片田和几只猪。在[IT]七八岁后就跟着父亲到田里劳动，父亲种地，[IT]就去收集野菜草料，以喂养家畜。\n有一次喂猪时，[IT]没有注意，被猪咬掉一个手指。		0		1								2		2	2								BanRightMiddleFinger					
38	Human	0	0	农民的孩子	[NAME]的家庭是地主家的佃仆。[ITS]父亲因劳累过度而垮了身体，无法按时交粮，无奈之下只能把[IT]卖了抵押债务。\n[NAME]的卖家对[IT]很苛责，终日用重活压榨[ITS]幼小的身体。		0		1									2	2	4								HealthOverdraft1					
39	Human	0	1	将门虎子	[NAME]祖上三代为将，[IT]从小就经过刻苦的训练和学习，被家庭寄以厚望。\n[ITS]童年有一半时间在军营度过，这让[IT]从骨子里透出钢铁般的气息。		0	2	2	1			6															Warrior	Strong				
40	Human	0	0	军人家庭	[NAME]的母亲早亡，父亲是从征西战场上活下来的百战老兵。战事平定后，[ITS]父亲回军中任教头，[IT]也跟随父亲久居军营。\n在一次镇压邪教的小规模行动中，[IT]跟随父亲见到了一些神奇的法术，虽然只是入门级别的小把戏，却这让[IT]对修行充满好奇。		0	2	1				4	4														BanParents					
41	Human	0	0	狼孩	[NAME]被一头母狼抚养长大，在[IT]被人从狼窝里发现时已经五岁。与狼为伴的童年让[IT]对人类充满疏离感，甚至花了好几年时间都无法正常说话。		0	3	3	-2	-1		8	6	-6													Warrior					
42	Human	0	0	落魄贵族	[NAME]家曾经是十里八乡有名的建筑世家。因牵扯前朝余孽作乱事件而被抄家。在发配途中，父亲耐不住折磨而离世。这种生活的巨变让[IT]变得自卑而内向。		0			-1	1				2			4			4							Pessimism					
43	Human	0	0	孤儿	[NAME]是个孤儿，[IT]游走在城市的阴暗角落，以乞讨和偷盗为生。\n常年的流浪生活让[ITS]神经极度敏感，而且无法久睡。		0	4																				HeartKnot					
44	Human	0	0	弃婴	[NAME]一出生就被遗弃在垃圾堆。被一个拾荒者捡到，勉强养活。\n极度糟糕的卫生条件让[IT]得了一种可怕的病症，这让[ITS]寿命受损严重。		0		-2	-2																		HealthOverdraft2					
45	Human	0	0	山村孩子	[NAME]出生在一个山村，[ITS]父母和村民都是为了躲避战乱而逃难到此。因此，在[NAME]从小接受的教育中，对暴力和战争的排斥占绝对主流。这让[IT]成为一个厌恶武力的人。		0				1	1	-4	2				4	4														
46	Human	0	0	军队儿童	[NAME]是在战场上被捡到的孤儿。[ITS]养父是军队中的百夫长，[IT]从小便跟随成年人训练，学习都是战场夺命之术。\n训练和杀敌填满[ITS]童年，直到有一天[IT]所在的军队中埋伏而溃败。侥幸活下来的[IT]开始思考自己人生的意义。		0	2	2				4															Warrior					
47	Human	0	1	前朝遗孤	[NAME]在一个四合院长大，每天和周围的孩子一样读书，玩耍，帮大人干活。\n只是所有人都不知道，[ITS]真实身份是前朝的皇子，一直默默等待义军来接[IT]复辟皇朝。		0	1	1		1		2		4	2	2		2		4												
48	Human	0	0	幸存者	[NAME]是一场大屠杀的幸存者。当[IT]从尸山血海的城镇苏醒时，眼前的一切成为[IT]一生挥之不去的梦靥。		0					2																HeartKnot					
49	Human	0	0	先天不足	[NAME]父母是亲兄妹，因此[IT]出生就患有先天不足之症。这让[IT]天生体弱，且天年难尽。		0		-3	1	1																	HealthOverdraft2					
50	Human	0	0	早熟儿童	[NAME]家境丰足，且生的一副好皮囊。从小就颇受异性欢迎的[IT]因此特别早熟，可以游刃有余的把握人和人之间的距离。		0			2					4													Affinity	BeautifulFace1				
51	Human	0	0	流浪儿	[NAME]的父亲失手杀死当地恶霸之子，为躲避报复，只得携妻子踏上流亡的道路。\n[NAME]从小的记忆就是饥一顿饱一顿的奔波。		0	1	1				2			2	2																
52	Human	0	0	小偷	[NAME]为了生存，不得不去做一些偷偷摸摸的事，但是其良心未泯。\n[IT]很少偷穷苦人家，也常常将偷到所得分给比[IT]还小的孩童。		0	1					2				2																
53	Human	0	0	小盗贼	[NAME]是一个盗窃团伙的成员。因为[IT]年龄小而且笨手笨脚，经常被团伙的其他成员嫌弃打骂，他们把[IT]留在巢穴负责后勤。\n也正是如此，在某一次朝廷严打中，[IT]侥幸活了下来。		0	-1			-1					2	2		3									Rugged					
54	Human	0	0	马背上的童年	[NAME]是一个游牧部落的孩子。[IT]从小在马背上长大，跟随部落驰骋草原。\n平日里，[IT]负责捡马粪收拾马圈，不过[IT]不喜欢这些工作。[ITS]梦想是成为最强的猎人。		0	2	1				4																				
55	Human	0	2	童养媳	[NAME]很小时候就被卖给地主家的傻儿子当童养媳。因其生的美貌，又懂事乖巧，深得他人喜爱。\n在地主家的日子，[IT]受到了良好的培训，掌握了不少居家技能。耳濡目染下，也落得谈吐文雅。		0		-1	2					2	2	2		2			2						Weak					
56	Human	0	0	牧羊孩童	[NAME]出生西海边的一个部落。[IT]和其他几个小伙伴一起为部落放牧羊群。\n牧场旁边有一座废墟，传说其中有鬼怪作祟。[NAME]常常在放羊的过程中开溜，一个人跑去废墟中去探险。		0		1																								
57	Human	0	0	战乱遗孤	[NAME]出生在一个边境城市。在[IT]很小的时候，外族入侵，屠了[IT]出生的城市。[IT]侥幸活了下来。\n[IT]从小就立誓，一定要从军征伐异族，报仇雪恨。为此，[IT]以强大的意志完成一项又一项不可能的训练。		0	2	2				5,2															Strong	Warrior				
58	Human	0	0	拾荒儿童	[NAME]在战乱中失去家园。和很多其他孩子一样，以拾荒为生。\n[IT]身材瘦小灵活，常常偷跑到富人区的垃圾堆中挑选珍惜的废品卖钱。这让[IT]早早积累了足够的资产，拜入一个手工店当学徒。		0	1	-1		1											4						Craftsman					
59	Human	0	1	佛前童子	[NAME]是寺庙中童子，负责佛前掌灯的工作。长年累月听经颂佛让[IT]充满灵性，隔绝世事的生活让[IT]心无杂念。		0				1			4							2							GoodMentality	NoHair				
60	Human	0	0	小道童	[NAME]是道观的童子，[IT]从小跟随师傅过着随日月而生息，观云雨而动静的生活。\n[IT]天资聪颖，深具潜能，在很小的年纪就到达了天人合一的境界，虽然[IT]并不自知。		0				2	1		6														Anatman					
61	Human	0	1	小沙弥	[NAME]是一个寺庙中的小沙弥。[IT]生性好动，又贪口腹之欲，寺庙中清苦的生活让[IT]痛不欲生。\n[IT]三番四次想逃出寺庙，但都被庙里的武僧抓了回去。		0		1								4		4									NoHair					
62	Human	0	0	诗坛神童	[NAME]身负宿慧，生而能言，有过目不忘之才。[IT]三岁作对，五岁成诗，七岁便享誉诗坛，被称为神童。朝野文人无不知其名。		0				3										6							Reader					
63	Human	0	0	顽童	[NAME]小时候特别调皮。是十里八乡有名的惹人精，无论大人小孩提起[IT]都觉得头疼。\n有一次[IT]不服管教，离家出走，在山里迷了路。但[IT]居然没心没肺的和猴子一起生活了半个月才被家里人找到。		0	1	1			2																Rugged					
64	Human	0	0	叛逆的孩子	[NAME]的父亲是个老学究，从小管[IT]管的特别严。这让[IT]内心充满了反抗精神，处处想方设法的惹父亲生气。为此[IT]三天两头就会被打一顿。		0		2												2												
65	Human	0	0	活泼儿童	[NAME]是个活泼而外向的孩子。[IT]从小就不怕生人，稍微长大一点后更是能说会道。[ITS]伶牙俐齿很多成年人都表示吃不消。\n[NAME]在周围孩子中声望很高，经常带领镇上的孩子上山下河，惹是生非。		0			2					4													Enthusiasm					
66	Human	0	0	内向的童年	[NAME]从小内向。除了父母外不敢见其[IT]人。每当有人接近[IT]，[IT]就会特别紧张而无所适从。\n在[IT]第一次上私塾的时候，因为一个异性同学向[IT]搭话，[IT]竟然紧张到当场昏迷。		0								-4													Sensitive					
67	Human	0	0	邪术试验品	[NAME]从小被一个邪派散修抓走，被当成修炼邪术的备用材料用妖法封印。\n后来该散修被正派人士诛杀，[IT]才得救。但也因为长时间被妖法封印，[ITS]身体大受损伤。		0		-3					6														HealthOverdraft1					
68	Human	0	1	小混混	[NAME]的父亲是当地恶霸。[IT]从懂事起就看着父亲做那些欺压善良的勾当，并以此为乐。\n在[IT]七八岁的时候，[IT]就借着[ITS]父亲的恶名组建了一个恶少盟，经常结伴横行乡里，深得群众的厌恶。		0		2	-1			4																				
69	Human	0	0	通灵儿童	[NAME]生有一双阴阳眼，能看到正常人看不到的东西。然而这个能力让[IT]过早的透支了大量元气。[IT]常常生病，且体质虚弱。\n在[IT]十岁时遇到一个游方郎中，这名郎中施展针灸将[ITS]阴阳眼封印，[ITS]身体才渐渐的健康了起来。		0		-1					6		2																	
70	Human	0	0	讨人喜欢	[NAME]拥有一种与生俱来的天赋，就是感知对方的心灵。这让[IT]可以轻而易举的顺着对方的心思做出最恰当的应对。\n在[IT]很小的时候，[IT]就能熟练的运用这一能力来博得周围人的欢心。		0								10													Affinity					
71	Human	0	1	佛门传承	[NAME]出生在一个叫草庙村的地方，在[IT]七岁时，全村人被一个恶人所杀。一个路过的老和尚救了[IT]，并传给[IT]一段口诀，嘱咐[IT]每日修炼，不能告诉任何人。		0		2					6														GoodMentality					
72	Human	0	1	折翼天才	[NAME]出生在一个武学世家，本来是绝世习武天才。然而在[IT]十一岁时突患怪病，内力逐渐流失，修炼变得很艰难。与自己指腹为婚的女孩也因此提出悔婚。\n身份的转变让[IT]尝尽冷暖，[IT]发誓一定要重新夺回自己的一切。		0	2	2				6	-6														Warrior	Strong				
73	Human	0	1	陪读孩童	[NAME]是一个秀才的陪读童子，然而这名秀才屡次考举人不中，暴躁之余经常对[IT]又打又骂。\n[NAME]不堪受辱，终于下定决心，在一个雨夜偷偷溜走。		0				1					2	4					2											
74	Human	0	0	富人子弟	[NAME]的父母是全国驰名的大商人，生意繁忙，常年外出，只是给[IT]留下大量钱财独自生活。\n[IT]因此从小就过着飞扬跋扈，恣意妄为的生活。		0			1					2													HealthMaintain1					
75	Human	0	0	游戏王	[NAME]天生聪颖好动，喜欢呼朋引伴的玩乐。在[IT]十岁的时候，无论棋牌灯谜，还是蹴鞠投壶，[IT]都无一不精。斗蟋蟀更是[ITS]独门绝技，[IT]挑选的蟋蟀往往犀利非常，罕有人敌。		0	1			1				4																		
76	Human	0	1	书呆子	[NAME]的父亲是个秀才，一辈子没有考上举人，全部的希望全压在了[IT]身上，每日督促[NAME]读书习作。\n[IT]从小就与书作伴，两耳不闻窗外事。成了一个手无缚鸡之力，什么都不会的书呆子。		0	-1	-1	-1	1		-6								4							Weak					
77	Human	0	0	弹弓高手	[NAME]小时候特别擅长玩弹弓，经常闹的部落鸡犬不宁。\n在[IT]长大一点后，就负责照看部落中的田地，用弹弓驱赶来偷吃的小型野兽。		0	1					4																				
78	Human	0	0	天生怪病	[NAME]从小有怪病，经脉互不连通，无法修炼。而且经常昏倒。每次昏倒后，[IT]都会发出奇特的香味，等苏醒就好似大病一场，虚弱无比。\n受这个怪病困扰，[NAME]无法干重活。		0			2				4							4							MeridianIncomplete					
79	Human	0	0	西域儿童	[NAME]出生在一个西域胡人家庭。在十岁那年， [IT]所在的部落被中原征服，[IT]全家也被收编到中原腹地为奴仆。\n因为地位低下，且不懂中原话，[IT]在中原的新生活很吃力，经常被刁难。这也让[IT]更加内向了。		0	1	1	-1			2		-4	2	2	2	2	2		2											
80	Human	0	1	皇子	[NAME]是当朝皇子之一。从小深宫中接受严格的教育和勾心斗角的磨练。\n在十几岁的时候，[IT]被大皇子陷害。为了活命[IT]隐姓埋名，假死逃出皇宫。		0	1	1	2			2		4	4					4							Distrust					
81	Human	0	1	傀儡皇帝	[NAME]三岁的时候就继承了皇位。[ITS]童年基本是懵懂的坐在皇位上，享受别人的吹捧和讨好。被摄政王操纵而不自知。\n在[IT]十三岁那年，摄政王发动政变，[IT]在先帝心腹的掩护下逃得性命…但也永远告别了锦衣玉食的生活。		0	-2	-1	1			-4		-4						2							Pessimism					
82	Human	0	0	童子军	[NAME]出生乱世，军阀横行四处征兵，连儿童都不放过。[IT]就是这样被一名大军阀强行征召成为童子军。\n[ITS]童年跟随部队四处流窜，主要负责一些后期建设类的工作。后来这名军阀事败，其手下也四散逃命，各奔东西。		0		1				4					4															
83	Human	0	0	矿洞孤儿	[NAME]的父母都是矿工，[IT]自小就在矿工屋棚长大。\n再一次矿难中，[ITS]父母不幸丧命。为了生活下去，[IT]小小年纪就被迫扛起了矿镐。		0		1								2			6													
84	Human	0	0	小偷	[NAME]的父亲是一个混混，沉迷赌博，以偷盗为生。耳濡目染下，[NAME]也从小染上了不劳而获，好吃懒做的性情，也成了一个小偷。\n[IT]生有一副好皮囊，良好的外表放松了他人的警惕。因此，小小年纪的[IT]可以屡次得手。		0	1		3			2															Lazy	BeautifulFace1				
85	Human	0	0	小偷	[NAME]小时候被拐卖，被一个偷窃团伙胁迫成为小偷。\n在一次偷盗中，[IT]将求救纸条放入了目标的口袋，并成功引起官府注意。偷窃团伙被一网打尽，[IT]也成功脱离苦海。		0	2			2		2																				
86	Human	0	0	残疾孩童	[NAME]小时候被野猪啃掉了一只耳朵和一个手臂。虽然[IT]侥幸活了下来，但是却落的终身残疾。\n[IT]并不为此气馁，百倍刻苦的训练自己。在十岁时，他认为自己修炼有成，便去山中找野猪报仇。这一次，[IT]被撞断了双腿。[IT]从此一蹶不振。		0					-2	2															BanLeftTibia	BanRightTibia	BanLeftEar	BanLeftScapula	HeartKnot	
87	Human	0	0	残疾孩童	[NAME]得了一种怪病，[IT]从十岁开始就不再长大了，这让[IT]看上去永远像个孩子。\n这个怪病给[IT]带来了很多麻烦，[IT]无法像成年人那样养活自己，也很难得到[IT]人的认同。		0	-2	-2	-1					-4	4												LowMan					
88	Human	0	0	哑巴	[NAME]小时候得过一次高烧，烧坏了脑袋。这让[ITS]智力显得有些低下，并且失去了开口讲话的能力。\n[IT]为此郁郁寡欢，终日把自己关在琴棋书画的世界麻醉自己。		0			-1	-1										6							Artist	Mute				
89	Human	0	1	替死之身	[NAME]本是将军府门房的孩子。在[IT]十岁那年，将军因政治漩涡而被迫害抄家。为了延续血脉，将军让[NAME]李代桃僵，替少爷去死。\n[NAME]不甘心就此死去，[IT]趁乱杀死了少爷，并借着火光逃离将军府。		0					2	2								2	4						GoodMentality					
90	Human	0	1	外门童子	[NAME]出生在一个叫五里沟的小镇，小镇附近有一个叫七玄门的小门派。[NAME]从小就被选中当外门弟子。\n虽然[IT]后来被逐出门派，但是几年外门弟子的生涯让[IT]对修行有了初步的了解。		0						2	4		4	4	4	4									Strong	Careful				
91	Human	0	0	药童	[NAME]在一个老郎中手下做事，负责帮老郎中抓药配药打打下手。\n在一次治疗中，[IT]抓错了分量，导致了病人病情加重，差点失去性命。[NAME]因此被老郎中逐出药铺。		0									4												Rugged					
92	Human	0	0	药罐子	[NAME]是个早产儿童，[IT]先天体弱，经常生病，而且哪怕是小病小痛都纠缠许久，很难治愈。因此，[NAME]的童年几乎是在吃药中度过。		0	-1	-2							4												HealthOverdraft1					
93	Human	0	0	雪原少年	[NAME]出生在北部边境的一个村落。那里终年大雪覆盖，村民以凿冰捕鱼，雪原打猎为生。\n[NAME]小小年纪就展露出过人的狩猎天赋。[IT]小时候就经常独自一人在雪原追猎雪兔，雪狐等小型猎物。		0	2	1				4					2	4									ColdPatience					
94	Human	0	0	戈壁流浪儿	[NAME]出生在戈壁的一个城镇。在小时候，一场超级大沙暴吞没了[ITS]故乡。[IT]跟随几个幸存者踏上了流浪的路途。\n在流浪的几年时间里，[IT]见惯了生死和人性，这让[IT]对这个世界失去了希望。		0	1	2				3			3	2	2				2						Distrust	Pessimism				
95	Human	0	0	水乡孩子	[NAME]出生在一个江南水乡，[ITS]故乡是一个坐落在河上的镇子。房屋之间以水道相连，独具风情。\n[NAME]家开有一家杂货铺。[IT]小时候每天都会划船载着货物绕城一周，帮忙贩售。		0			1					2							2											
96	Human	0	0	山中少年	[NAME]是大山的孩子，从小就跟着哥哥在山里翻山越岭，爬树下河。\n[NAME]小时候最喜欢的活动就是下雨后去山里采木耳蘑菇，[IT]每次都比哥哥采的多且好。		0	1	1									2	4														
97	Human	0	1	少年神将	[NAME]是赤焰军的少年将军，年少之时便武功盖世。\n后来赤焰军遭人陷害，全军覆没。[IT]在众将士的保护下逃脱性命，但也不幸身中奇毒。		0	2					6			2												HealthOverdraft2					
98	Human	0	2	神格之命	[NAME]出生时母亲难产而死，刚一出生，遍体生香，虽是春日，满城鲜花却瞬间凋零，引为不详。\n[NAME]因其体质特殊，特别容易吸引鬼怪。[IT]小时候曾遇到一名高僧，高僧给[IT]一串佛珠和一张黑狗皮斗篷，无论行止坐卧都随身携带以遮蔽气息，[IT]才平安长大。		0			3	1			6							2												
99	Human	0	1	武术世家	[NAME]的父亲本是家族第一高手，然而在一次重要的比武中为了家族牺牲，沦为残废。[IT]将全部的希望倾注在自己的孩子身上。可惜[NAME]天资一般，进步缓慢。\n在一次奇遇下，[NAME]从一潭神秘的池水中得到一块石符，在石符的帮助下，[ITS]修为飞速提高，成为家族的天才。		0	2	2				6																				
100	Human	0	0	天生神力	[NAME]天生力大无穷，在[IT]8岁时就拥有了不弱于成人的力气，可以挥动铁锤，搬动大石块。\n[IT]并不辜负自己的天赋，反而加倍的练习，这让[ITS]力量远超同龄人。		0		4																			Masculinity					
501	Human	1	0	江湖大侠	[NAME]身负武艺，在俗世中当过一段劫富济贫的侠客。在一次决斗中，敌人在[IT]脸上留下一道狭长的刀疤，让[IT]看起来十分凶恶。		0	2	2				6			2												FacialScar					
502	Human	1	2	女侠	[NAME]身负武艺，在俗世中当过一段劫富济贫的侠客。在行侠过程中，[ITS]搭档为了救[IT]而殒命。[IT]也因此心灰意冷，退出江湖。		0	1	1				5			2												Depressed					
503	Human	1	0	退休镖师	[NAME]是一个镖师，直到[IT]在一次护镖的过程中膝盖中了一箭。		0	-1	1				3			1						2						CrippleLeft					
504	Human	1	0	地主恶奴	[NAME]是一个地主手下的恶奴。常年的欺软怕硬让[IT]懂得审时度势的重要。\n然而终于有一次，[IT]还是得罪了不该得罪的人，因此[IT]走上了逃亡的道路。		0	2		-1			2															Masculinity					
505	Human	1	0	屠夫	[NAME]此前是一个屠夫，以屠宰各种牲畜为生。粗重的体力活让[ITS]体格健壮而有力。常年的屠戮让[IT]习惯血腥与死亡。		0	2	2	-1			2				4		2		-4							Rugged	Masculinity				
506	Human	1	0	农夫	[NAME]是个农民，对粗活重活得心应手。但贫穷的生活和高强度的工作摧垮了[ITS]身体和心灵。		0	-1	-1	-1					-2		1	1	4	1		4						Numbness	Masculinity				
507	Human	1	0	手艺人	[NAME]习得一身手艺，并以此为生。因为工作的需要，[IT]拥有了一双巧手。		0	2													2	8											
508	Human	1	0	马贼	[NAME]迫于生计沦为马贼，刀头舔血的生活让[IT]养成及时行乐，凶残冷血的性格。但是这种朝不保夕的生活也让[IT]心生厌倦。在一次官府围剿中，[IT]丢失了一只胳膊，也借此脱离了组织。		0	2				1	5			1												BanLeftScapula	Masculinity				
509	Human	1	0	茶馆伙计	[NAME]一直在一个茶馆当伙计，底层的生活让[IT]熟知讨好他人的方法。耳濡目染下，也让[IT]略懂烹饪。		0	1		1		1			3,1		2																
510	Human	1	0	说书人	[NAME]继承了一个说书人的衣钵，[IT]牵着自己的坐骑：一头驴，四处游行，并以说书赚取生存所需的资源。		0			1	1				2						4												
511	Human	1	1	状元	[NAME]在曾经科举中过状元，文化程度相当高。不过[IT]却热爱农事，甚至为此辞官归隐田园。		0	-1	-1		2		-2	1					4,2		4							Reader					
