ID	Type	Kind	Name	fParam	fParam2	Lv	Des	Disname
52	FightHU	Property	NpcFight_ShieldConversionRateAddP	0.3		6	将一些能够巨量增强护盾强度的技巧寄托于此物之上。	技巧之悟:巨量
53	Refining	Property	FabaoMake_TwelveRateChance	0.001		1	将一些能够微量增强神器练成几率的技巧寄托于此物之上。	技巧之悟:微量
54	Refining	Property	FabaoMake_TwelveRateChance	0.002		2	将一些能够少许增强神器练成几率的技巧寄托于此物之上。	技巧之悟:少量
55	Refining	Property	FabaoMake_TwelveRateChance	0.003		3	将一些能够增强神器练成几率的技巧寄托于此物之上。	技巧之悟:中等
56	Refining	Property	FabaoMake_TwelveRateChance	0.004		4	将一些能够较多增强神器练成几率的技巧寄托于此物之上。	技巧之悟:较多
57	Refining	Property	FabaoMake_TwelveRateChance	0.005		5	将一些能够大量增强神器练成几率的技巧寄托于此物之上。	技巧之悟:大量
58	Refining	Property	FabaoMake_TwelveRateChance	0.006		6	将一些能够巨量增强神器练成几率的技巧寄托于此物之上。	技巧之悟:巨量
59	RefiningDan	Property	DanMake_YieldAddP	0.05		1	将一些能够微量增强炼丹产量的技巧寄托于此物之上。	技巧之悟:微量
60	RefiningDan	Property	DanMake_YieldAddP	0.1		2	将一些能够少许增强炼丹产量的技巧寄托于此物之上。	技巧之悟:少量
61	RefiningDan	Property	DanMake_YieldAddP	0.15		3	将一些能够增强炼丹产量的技巧寄托于此物之上。	技巧之悟:中等
62	RefiningDan	Property	DanMake_YieldAddP	0.2		4	将一些能够较多增强炼丹产量的技巧寄托于此物之上。	技巧之悟:较多
63	RefiningDan	Property	DanMake_YieldAddP	0.25		5	将一些能够大量增强炼丹产量的技巧寄托于此物之上。	技巧之悟:大量
64	RefiningDan	Property	DanMake_YieldAddP	0.3		6	将一些能够巨量增强炼丹产量的技巧寄托于此物之上。	技巧之悟:巨量
65	Practice	Property	DeepPracticeSpeedSpecialCoefficient		0.05	1	将一些能够微量增强修炼速度的技巧寄托于此物之上。	技巧之悟:微量
66	Practice	Property	DeepPracticeSpeedSpecialCoefficient		0.1	2	将一些能够少许增强修炼速度的技巧寄托于此物之上。	技巧之悟:少量
67	Practice	Property	DeepPracticeSpeedSpecialCoefficient		0.15	3	将一些能够增强修炼速度的技巧寄托于此物之上。	技巧之悟:中等
68	Practice	Property	DeepPracticeSpeedSpecialCoefficient		0.2	4	将一些能够较多增强修炼速度的技巧寄托于此物之上。	技巧之悟:较多
69	Practice	Property	DeepPracticeSpeedSpecialCoefficient		0.25	5	将一些能够大量增强修炼速度的技巧寄托于此物之上。	技巧之悟:大量
70	Practice	Property	DeepPracticeSpeedSpecialCoefficient		0.3	6	将一些能够巨量增强修炼速度的技巧寄托于此物之上。	技巧之悟:巨量
71	Disciple	Special	Fly			1	将御空飞行的能力额外附加在此物之上。(本体不会失去此能力）	御空飞行
72	Disciple	Special	LingDun		500	1	将开启一个少量灵气护盾的能力额外附加在此物之上。(本体不会失去此能力）	灵气护体:少
73	Disciple	Special	LingDun		1000	2	将开启一个中量灵气护盾的能力额外附加在此物之上。(本体不会失去此能力）	灵气护体:中
74	Disciple	Special	LingDun		1500	3	将开启一个大量灵气护盾的能力额外附加在此物之上。(本体不会失去此能力）	灵气护体:大
