talk	notarget	int	string	float	thing
DoTalkShitInFarm					我正在在农田里排泄
DoTalkCarryOuterToBed					我正在把昏迷的{0}搬到床上
DoTalkCarryVisitorToDest					我正在把昏迷的访客{0}搬到搬运点
DoTalkCarryEnemyToDest					我正在把昏迷的敌人{0}搬到搬运点
DoTalkCarryIncomingToDest					我正在把昏迷的来客{0}搬到搬运点
DoTalkCarryEnemyBodyToDest					我正在把{0}的尸体搬到搬运点
DoTalkCarryVisitorBodyToDest					我正在把{0}的尸体搬到搬运点
DoTalkCarryIncomingBodyToDest					我正在把{0}的尸体搬到搬运点
DoTalkHelpCarry					我正在帮忙整理物品
DoTalkHelpTimber					我正在帮忙砍树
DoTalkHelpMine					我正在帮忙挖矿
DoTalkHelpFind					我正在搜刮物品
DoTalkHelpKill					我正在屠宰动物
DoTalkHelpPlant					我正在给植物施肥
DoTalkCureFreeze					我正在治疗{0}的冻伤
DoTalkCureHot					我正在治疗{0}的中暑
DoTalkHelpCook					我正在帮忙做饭
DoTalkHeatEndure					我正在帮忙提高耐热能力
DoTalkColdEndure					我正在帮忙提高耐寒能力
DoTalkHelpPlay					我正在陪{0}玩耍
DoTalkPlayToy					我正在玩{0}
DoTalkPlaySelf					我正在自娱自乐
DoTalkTrainQiGan	我正在练习灵气方面的能力				
DoTalkTrainNeiDan	我正在练习御丹方面的能力				
DoTalkTrainHuTi	我正在练习护体方面的能力				
DoTalkTrainLingZhi	我正在练习灵智方面的能力				
DoTalkTrainShuFa	我正在练习术法方面的能力				
DoTalkFollow					
DoTalkLay					
DoTalkWander					
CantEatShit	我无粪便可吃				
CantEatEssence	我没有天才地宝可吃				
CantEatDrug	我没有丹药可吃				
CantEatWheat	我没有小麦可吃				
CantEatDryMeat	我没有肉干可吃				
CantEatPear	我没有梨子可吃				
CantEatMeat	我没有生肉可吃				
CantEatCook	我没有熟食可吃				
CantBiteBuilding	我没有建筑可咬				
CantBiteClothes	我没有衣服可咬				
CantBiteOuter	我没有外门可咬				
CantBiteInner	我没有内门可咬				
CantBiteVisitor	我没有访客可咬				
CantBiteIncoming	我没有凡人可咬				
CantAtkEnemy	我没有敌人可攻击				
CantShitAtShitPlace	我没有排泄点可排泄				
CantShitAtPlants	我没有可排泄的植物				
CantShitAtDogHouse	我没有可排泄的巢				
CantShitAtStorage	我没有可排泄的仓库				
CantShitOnBed	我没有可排泄的床				
CantShitInFarm	我没有可排泄的农田				
CantCarryOuterToBed	我没有弟子可搬到床上				
CantCarryVisitorToDest	我没有访客可搬到搬运点				
CantCarryEnemyToDest	我没有敌人可搬到搬运点				
CantCarryIncomingToDest	我没有凡人可搬到搬运点				
CantCarryEnemyBodyToDest	我没有敌人的尸体可搬到搬运点				
CantCarryVisitorBodyToDest	我没有访客的尸体可搬到搬运点				
CantCarryIncomingBodyToDest	我没有访客的尸体可搬到搬运点				
CantHelpCarry	没有物品需要我帮忙整理				
CantHelpTimber	没有树需要我帮忙砍				
CantHelpMine	没有矿需要我帮忙挖				
CantHelpFind	我没有人可搜刮				
CantHelpKill	我没有敌人可屠宰				
CantHelpPlant	我没有农作物可浇灌				
CantCureFreeze	没有冻伤的人可治疗				
CantCureHot	没有中暑的人可治疗				
CantHelpCook	帮助做饭还没有准备好				
CantHeatEndure	提高耐热还没有准备好				
CantColdEndure	提高耐寒还没有准备好				
CantHelpPlay	没有弟子需要陪玩耍				
CantPlayToy	没有玩具可以玩				
NoParam2CarryVisitorToDest					我没有找到搬运点来搬运访客{0}
NoParam2CarryEnemyToDest					我没有找到搬运点来搬运敌人{0}
NoParam2CarryIncomingToDest					我没有找到搬运点来搬运凡人{0}
NoParam2CarryEnemyBodyToDest					我没有找到搬运点来搬运敌人{0}的尸体
NoParam2CarryVisitorBodyToDest					我没有找到搬运点来搬运访客{0}的尸体
NoParam2CarryIncomingBodyToDest					我没有找到搬运点来搬运凡人{0}的尸体
NoParam2HelpCarry	帮助搬运还没有准备好				
NoParam2HelpTimber	帮助伐木还没有准备好				
NoParam2HelpMine	帮助挖矿还没有准备好				
NoParam2HelpPlant	帮助施肥还没有准备好				
NoParam2CureFreeze	治疗冻伤还没有准备好				
NoParam2CureHot	治疗中暑还没有准备好				
NoParam2HelpCook	帮助做饭还没有准备好				
DrinkTalk1	我要喝水				
DrinkTalk2	我渴了				
DrinkTalk3	正在喝水				
NotAtkDizzyOuter	我不会攻击昏迷的外门弟子				
NotAtkDizzyInner	我不会攻击昏迷的内门弟子				
NotAtkDizzyComing	我不会攻击昏迷的凡人				
NotAtkDizzyVisitor	我不会攻击昏迷的访客				
NoTongXie	我找不到通泻散				
WannaAtkDizzyOuter					我想终结外门弟子{0}的痛苦
WannaAtkDizzyInner					我想终结内门弟子{0}的痛苦
WannaAtkDizzyComing					昏迷的来者{0}破绽很大，我来了
WannaAtkDizzyVisitor					昏迷的访客{0}看起来很痛苦，我想让其解脱
DoTalkAtkDizzyOuter					我正在攻击昏迷的外门弟子{0}
DoTalkAtkDizzyInner					我正在攻击昏迷的内门弟子{0}
DoTalkAtkDizzyComing					我正在攻击昏迷的凡人{0}
DoTalkAtkDizzyVisitor					我正在攻击昏迷的访客{0}
CantAtkDizzyOuter	我没有可攻击的昏迷外门弟子				
CantAtkDizzyInner	我没有可攻击的昏迷内门弟子				
CantAtkDizzyComing	我没有可攻击的昏迷凡人				
CantAtkDizzyVisitor	我没有可攻击的昏迷访客				
NotFeedTongXie	我不会给外门喂通泄散				
NotCureInner	我不会治疗内门的伤势				
WannaFeedTongXie	我想给外门喂通泄散				我想给外门{0}喂通泄散
WannaCureInner	我不会治疗内门的伤势				我想治疗内门{0}的伤势
DoTalkFeedTongXie					我正在给外门{0}喂通泄散
DoTalkCureInner					我正在治疗内门{0}的伤势
CantFeedTongXie	我没有可以喂通泄散的外门弟子				
CantCureInner	我没有可疗伤的内门弟子				
NoParam2FeedTongXie					我想给外门{0}喂通泄散，但没有通泄散
NoParam2CureInner					我想给内门{0}治疗伤势，但时机未到
NotHelpPlantD	我不会把尿撒到药田里				
WannaHelpPlantD	想帮浇灌药田				
DoTalkHelpPlantD	正在帮浇灌药田				
CantHelpPlantD	无法帮浇灌药田				
NoParam2HelpPlantD	浇灌还没准备好				
NotCarryOuterBodyToDest	我不会将外门尸体搬到搬运点				
NotCarryInnerBodyToDest	我不会将内门尸体搬到搬运点				
WannaCarryOuterBodyToDest	我想将外门尸体搬到搬运点				
WannaCarryInnerBodyToDest	我想将内门尸体搬到搬运点				
DoTalkCarryOuterBodyToDest	我正在将外门尸体搬到搬运点				
DoTalkCarryInnerBodyToDest	我正在将内门尸体搬到搬运点				
CantCarryOuterBodyToDest	我无法将外门尸体搬到搬运点				
CantCarryInnerBodyToDest	我无法将内门尸体搬到搬运点				
Sleep1	我要睡觉了				
Sleep2	眼睛要睁不开了				
Sleep3	我听见梦乡在召唤我				
Wonder1	随便转转				
Wonder2	看看风景				
Wonder3	溜达溜达				
Lay1	享受微风				
Lay2	休息一下				
Lay3	不想动				
Follow1	看看这个人在干啥				
Follow2	这个人身上有种怪味道				
Follow3	这个人引起了我的注意				
Eat1	我要饿死了				
Eat2	好饿啊，我走不动了				
Eat3	吃东西时间到了				
NotFeed_Item_Dan_Happiness	我不会喂内门弟子极乐丹				
NotFeed_Item_Dan_PracticeSpeed	我不会喂内门弟子黄芽丹				
NotFeed_Item_Dan_CalmDown	我不会喂内门弟子清心丹				
NotFeed_Item_LingStone	我不会喂内门弟子灵石				
NotFeed_Item_LingCrystal	我不会喂内门弟子灵晶				
WannaFeed_Item_Dan_Happiness	我想要喂内门弟子极乐丹				
WannaFeed_Item_Dan_PracticeSpeed	我想要喂内门弟子黄芽丹				
WannaFeed_Item_Dan_CalmDown	我想要喂内门弟子清心丹				
WannaFeed_Item_LingStone	我想要喂内门弟子灵石				
WannaFeed_Item_LingCrystal	我想要喂内门弟子灵晶				
DoTalkFeed_Item_Dan_Happiness	我正在喂内门弟子极乐丹				
DoTalkFeed_Item_Dan_PracticeSpeed	我正在喂内门弟子黄芽丹				
DoTalkFeed_Item_Dan_CalmDown	我正在喂内门弟子清心丹				
DoTalkFeed_Item_LingStone	我正在喂内门弟子灵石				
DoTalkFeed_Item_LingCrystal	我正在喂内门弟子灵晶				
CantFeed_Item_Dan_Happiness	我无法喂内门弟子极乐丹				
CantFeed_Item_Dan_PracticeSpeed	我无法喂内门弟子黄芽丹				
CantFeed_Item_Dan_CalmDown	我无法喂内门弟子清心丹				
CantFeed_Item_LingStone	我无法喂内门弟子灵石				
CantFeed_Item_LingCrystal	我无法喂内门弟子灵晶				
NoParam2Feed_Item_Dan_Happiness	我找不到极乐丹				
NoParam2Feed_Item_Dan_PracticeSpeed	我找不到黄芽丹				
NoParam2Feed_Item_Dan_CalmDown	我找不到清心丹				
NoParam2Feed_Item_LingStone	我找不到灵石				
NoParam2Feed_Item_LingCrystal	我找不到灵晶				
QiGanResult_Low	灵气能力稍微提高了				
NeiDanResult_Low	御丹能力稍微提高了				
HuTiResult_Low	护体能力稍微提高了				
LingZhiResult_Low	灵智能力稍微提高了				
ShuFaResult_Low	术法能力稍微提高了				
QiGanResult_Mid	灵气能力提高了不少				
NeiDanResult_Mid	御丹能力提高了不少				
HuTiResult_Mid	护体能力提高了不少				
LingZhiResult_Mid	灵智能力提高了不少				
ShuFaResult_Mid	术法能力提高了不少				
QiGanResult_High	灵气能力大幅提高了				
NeiDanResult_High	御丹能力大幅提高了				
HuTiResult_High	护体能力大幅提高了				
LingZhiResult_High	灵智能力大幅提高了				
ShuFaResult_High	术法能力大幅提高了				
NotBiteExpel	我不会咬陌生的凡人				
WannaBiteExpel					我想要咬陌生的凡人{0}！
DoTalkBiteExpel					我正在咬陌生的凡人{0}
CantBiteExpel	我无法咬陌生的凡人！				
NotCarryMortalToDest	我不会将昏迷凡人搬到搬运点				
NotCarryMortalBodyToDest	我不会将凡人尸体搬到搬运点				
WannaCarryMortalToDest					凡人{0}晕倒了，我想将其搬走
WannaCarryMortalBodyToDest					凡人{0}死了，我想将其搬走
DoTalkCarryMortalToDest					我正在将昏迷的凡人{0}搬到搬运点
DoTalkCarryMortalBodyToDest					我正在将凡人{0}的尸体搬到搬运点
CantCarryMortalToDest	我无法将昏迷凡人搬到搬运点				
CantCarryMortalBodyToDest	我无法将凡人尸体搬到搬运点				
Nothing	无事发生				
No_NutritionQiGan	没有灵气营养，锻炼没有用...				
No_NutritionNeiDan	没有御丹营养，锻炼没有用...				
No_NutritionHuTi	没有护体营养，锻炼没有用...				
No_NutritionLingZhi	没有灵智营养，锻炼没有用...				
No_NutritionShufa	没有术法营养，锻炼没有用...				
WannaEat					根据饮食规划，我决定吃东西
WannaTrainShuFa	我想锻炼术法相关的能力				
WannaTrainLingZhi	我想锻炼灵智相关的能力				
WannaTrainHuTi	我想锻炼护体相关的能力				
WannaTrainNeiDan	我想锻炼御丹相关的能力				
WannaTrainQiGan	我想锻炼灵气相关的能力				
NothingToEat	我没有东西吃了！好饿				
NotEat_Item_SnakeGallbladder	我不会吃蛇胆				
NotEat_Item_BearGallbladder	我不会吃熊胆				
NotEat_Item_RedGinseng	我不会吃赤参				
NotEat_Item_PurpleGanodermaLucidum	我不会吃紫芝				
NotEat_Item_TuEssence	我不会吃赭黄精				
NotEat_Item_HuoEssence	我不会吃朱果				
NotEat_Item_ShuiEssence	我不会吃五色金莲				
NotEat_Item_JinEssence	我不会吃琅琊果				
NotEat_Item_MuEssence	我不会吃木枯藤				
NotEat_Item_LifeStream	我不会吃长生泉				
NotEat_Item_LongEgg	我不会吃蛟龙的卵				
NotEat_Item_FengEgg	我不会吃凤凰的卵				
NotEat_Item_DragonShit	我不会吃天龙砂				
NotEat_Item_Jiaozi	我不会吃饺子				
NotEat_Item_BossFeng_Meat	我不会吃凶凤的血肉				
NotEat_Item_BossLong_Meat	我不会吃蛟龙的血肉				
NotEat_Item_BossZhuLong_Meat	我不会吃原初血肉				
NotEat_Item_Cake	我不会吃面饼				
NotEat_Item_MonsterBlood	我不会吃妖灵血				
NotEat_Item_EarthEssence	我不会吃地母灵液				
NotEat_Item_SilverGrit	我不会吃寒晶沙				
NotEat_Item_CopperGrit	我不会吃火铜砂				
NotEat_Item_Cinnabar	我不会吃朱砂				
NotEat_Item_LingMuXueJie	我不会吃灵木血竭				
NotEat_Item_EarthEssence_1	我不会吃灵髓脂				
NotEat_Item_EarthEssence1_1	我不会吃血髓脂				
NotEat_Item_Healroot	我不会吃药草				
NotEat_Item_Mint	我不会吃清心草				
NotEat_Item_MagicHerb	我不会吃灵仙草				
NotEat_Item_Laxative	我不会吃通泄散				
WannaEat_Item_SnakeGallbladder					我很想吃蛇胆
WannaEat_Item_BearGallbladder					我很想吃熊胆
WannaEat_Item_RedGinseng					我很想吃赤参
WannaEat_Item_PurpleGanodermaLucidum					我很想吃紫芝
WannaEat_Item_TuEssence					我很想吃赭黄精
WannaEat_Item_HuoEssence					我很想吃朱果
WannaEat_Item_ShuiEssence					我很想吃五色金莲
WannaEat_Item_JinEssence					我很想吃琅琊果
WannaEat_Item_MuEssence					我很想吃木枯藤
WannaEat_Item_LifeStream					我很想吃长生泉
WannaEat_Item_LongEgg					我很想吃蛟龙的卵
WannaEat_Item_FengEgg					我很想吃凤凰的卵
WannaEat_Item_DragonShit					我很想吃天龙砂
WannaEat_Item_Jiaozi					我很想吃饺子
WannaEat_Item_BossFeng_Meat					我很想吃凶凤的血肉
WannaEat_Item_BossLong_Meat					我很想吃蛟龙的血肉
WannaEat_Item_BossZhuLong_Meat					我很想吃原初血肉
WannaEat_Item_Cake					我很想吃面饼
WannaEat_Item_MonsterBlood					我很想吃妖灵血
WannaEat_Item_EarthEssence					我很想吃地母灵液
WannaEat_Item_SilverGrit					我很想吃寒晶沙
WannaEat_Item_CopperGrit					我很想吃火铜砂
WannaEat_Item_Cinnabar					我很想吃朱砂
WannaEat_Item_LingMuXueJie					我很想吃灵木血竭
WannaEat_Item_EarthEssence_1					我很想吃灵髓脂
WannaEat_Item_EarthEssence1_1					我很想吃血髓脂
WannaEat_Item_Healroot					我很想吃药草
WannaEat_Item_Mint					我很想吃清心草
WannaEat_Item_MagicHerb					我很想吃灵仙草
WannaEat_Item_Laxative					我很想吃通泄散
DoTalkEat_Item_SnakeGallbladder					我正在吃蛇胆
DoTalkEat_Item_BearGallbladder					我正在吃熊胆
DoTalkEat_Item_RedGinseng					我正在吃赤参
DoTalkEat_Item_PurpleGanodermaLucidum					我正在吃紫芝
DoTalkEat_Item_TuEssence					我正在吃赭黄精
DoTalkEat_Item_HuoEssence					我正在吃朱果
DoTalkEat_Item_ShuiEssence					我正在吃五色金莲
DoTalkEat_Item_JinEssence					我正在吃琅琊果
DoTalkEat_Item_MuEssence					我正在吃木枯藤
DoTalkEat_Item_LifeStream					我正在吃长生泉
DoTalkEat_Item_LongEgg					我正在吃蛟龙的卵
DoTalkEat_Item_FengEgg					我正在吃凤凰的卵
DoTalkEat_Item_DragonShit					我正在吃天龙砂
DoTalkEat_Item_Jiaozi					我正在吃饺子
DoTalkEat_Item_BossFeng_Meat					我正在吃凶凤的血肉
DoTalkEat_Item_BossLong_Meat					我正在吃蛟龙的血肉
DoTalkEat_Item_BossZhuLong_Meat					我正在吃原初血肉
DoTalkEat_Item_Cake					我正在吃面饼
DoTalkEat_Item_MonsterBlood					我正在吃妖灵血
DoTalkEat_Item_EarthEssence					我正在吃地母灵液
DoTalkEat_Item_SilverGrit					我正在吃寒晶沙
DoTalkEat_Item_CopperGrit					我正在吃火铜砂
DoTalkEat_Item_Cinnabar					我正在吃朱砂
DoTalkEat_Item_LingMuXueJie					我正在吃灵木血竭
DoTalkEat_Item_EarthEssence_1					我正在吃灵髓脂
DoTalkEat_Item_EarthEssence1_1					我正在吃血髓脂
DoTalkEat_Item_Healroot					我正在吃药草
DoTalkEat_Item_Mint					我正在吃清心草
DoTalkEat_Item_MagicHerb					我正在吃灵仙草
DoTalkEat_Item_Laxative					我正在吃通泄散
CantEat_Item_SnakeGallbladder	我找不到蛇胆可吃				
CantEat_Item_BearGallbladder	我找不到熊胆可吃				
CantEat_Item_RedGinseng	我找不到赤参可吃				
CantEat_Item_PurpleGanodermaLucidum	我找不到紫芝可吃				
CantEat_Item_TuEssence	我找不到赭黄精可吃				
CantEat_Item_HuoEssence	我找不到朱果可吃				
CantEat_Item_ShuiEssence	我找不到五色可吃				
CantEat_Item_JinEssence	我找不到琅琊果可吃				
CantEat_Item_MuEssence	我找不到木枯藤可吃				
CantEat_Item_LifeStream	我找不到长生泉可吃				
CantEat_Item_LongEgg	我找不到蛟龙的卵可吃				
CantEat_Item_FengEgg	我找不到凤凰的卵可吃				
CantEat_Item_DragonShit	我找不到天龙砂可吃				
CantEat_Item_Jiaozi	我找不到饺子可吃				
CantEat_Item_BossFeng_Meat	我找不到凶凤的血肉可吃				
CantEat_Item_BossLong_Meat	我找不到蛟龙的血肉可吃				
CantEat_Item_BossZhuLong_Meat	我找不到原初血肉可吃				
CantEat_Item_Cake	我找不到面饼可吃				
CantEat_Item_MonsterBlood	我找不到妖灵血可吃				
CantEat_Item_EarthEssence	我找不到地母灵液可吃				
CantEat_Item_SilverGrit	我找不到寒晶沙可吃				
CantEat_Item_CopperGrit	我找不到火铜砂可吃				
CantEat_Item_Cinnabar	我找不到朱砂可吃				
CantEat_Item_LingMuXueJie	我找不到灵木血竭可吃				
CantEat_Item_EarthEssence_1	我找不到灵髓脂可吃				
CantEat_Item_EarthEssence1_1	我找不到血髓脂可吃				
CantEat_Item_Healroot	我找不到药草可吃				
CantEat_Item_Mint	我找不到清心草可吃				
CantEat_Item_MagicHerb	我找不到灵仙草可吃				
CantEat_Item_Laxative	我找不到通泄散可吃				
Leave1					"{0},路上注意安全"
Leave2					早点回来啊，{0}
Leave3					一路顺风，{0}
Back1					{0}，你终于回来了
Back2					欢迎回家，{0}
Back3					我好想你啊，{0}
NotBack1					{0}怎么还没回来
NotBack2					{0}去干什么了
NotBack3					不知道{0}怎么样了
BackComa1					{0}，你怎么了
BackComa2					{0}需要帮助
BackComa3					{0}坚持住
SleepHelp1					{0}，快点好起来啊
SleepHelp2					{0}，快点好起来啊
SleepHelp3					{0}，快点好起来啊
Lacrimosa1		...			
Lacrimosa2		...			
Lacrimosa3		...			
QiGan_FullTalk	我的灵气到达上限了				
NeiDan_FullTalk	我的御丹到达上限了				
HuTi_FullTalk	我的护体到达上限了				
LingZhi_FullTalk	我的灵智到达上限了				
ShuFa_FullTalk	我的术法到达上限了				
