ID	Flag	Desc	Txt	Pic	Link	Voice
12	1	第一次打开画符界面	符咒有强大的功效，玩家可以将画好的符咒装备到角色身上以调整角色属性。随着游戏历程推进，玩家可以获得新的符图，角色只要研读符图，就可以解锁新的符咒画法。	ui\Help2\012	68	m12
13	1	第一次打开心情与社交面板	你打开了角色的情绪面板。在此面板，你可以查看当前角色的种种情绪，它们通常反应了角色的需求。为了使门派良好的运转，请关注角色情绪并满足他们的需求。	ui\Help2\013	23	m13
14	1	第一次打开健康面板	你打开了角色的健康面板。在此面板，你可以查看角色的健康状态，受伤情况，恢复情况等信息。为了使门派良好的运转，请随时关注角色的健康状态，并让受伤的角色尽快回复健康。	ui\Help2\014	25	m14
15	1	第一次打开修炼面板	你打开了角色的修炼面板。在此面板，你可以查看角色修炼相关的数据和状态。随着境界的提升，修炼面板的内容也会发生变化。获得修炼方法后才能开启此面板。	ui\Help2\016	62	m15
16	1	第一次划种植区	你规划了一片农田，可以选中农田来指定该区域种植的作物。不同植物的生长需要不同的土壤肥力，温度，光照等条件。关注植物的需求，并尝试让农田的条件更适合植物生长。	ui\Help2\019	36	m16
17	1	第一次划储存区	你规划了一片仓库，角色会将物品搬运到仓库进行储藏。玩家可以配置仓库的[color=#D06508]筛选规则[/color]，以实现物品的分类储存。	ui\Help2\021	36	m17
18	1	第一次建造生产建筑（制药桌等）	你建造了一个生产建筑。打开该建筑的生产列表，可以发布生产命令。玩家可以对生产队列中的物品进行[color=#D06508]置顶[/color]，[color=#D06508]循环制作[/color]等操作。	ui\Help2\022	34	m18
19	1	第一次建成房间	你建成了一个房间。在房间中，诸如温度，美观度等常规属性会以平均算法进行计算。除此之外，房间还对布局，豪华程度等方面提出要求。玩家可以通过点击房间地板来选中房间进行查看。	ui\Help2\023	43	m19
20	1	第一次角色心情低于40	你有一名角色情绪过低。玩家可以通过屏幕顶端的人物标签便捷的查看心情。如果角色心情偏低，则需要在该角色心情面板中查看其具体情绪，并针对性的为他解决问题。	ui\Help2\024	23	m20
21	1	第一次角色怠工	你有一名外门弟子怠工了。当外门弟子心情低于30就会发生怠工，怠工期间角色不会进行工作。如果再此期间角色的心情恢复到45以上，该角色就会提前离开怠工状态。	ui\Help2\025	23	m21
22	1	第一次有角色觉得温度不适	你有一名角色觉得温度不适。玩家可以通过改善装备（如穿合适的衣服，带针对性的符咒）或改变环境（如点燃篝火，使用寒冷的材料来制作家具）来解决角色温度不适的问题。 	ui\Help2\026	23	m22
23	1	第一次提示食物储量不足	你的食物储备不足，请在食物用完之前寻找新的食物。如果食物用尽，角色会因饥饿而死亡。	ui\Help2\027		m23
24	1	第一次提示药物储量不足	你的药物储备不足，请在药物用完之前寻找新的药物。如果药物用尽，角色受伤时会因没有药物而无法被治疗。	ui\Help2\028		m24
25	1	第一次吃土	你有一名角色因过度饥饿而吃土了。注意，连续多次吃土会因腹胀而死亡，可先种植易成熟的作物“蘑菇”，或打猎，或南屏村历练来收集食物。	ui\Help2\029		m25
26	1	第一次提示精元储备不足	你的精元物品储备不足，请及时获取新的精元物品。内门弟子的所有修炼都需要精元，如果角色精元消耗完毕则无法进行任何修炼。	ui\Help2\030	63	m26
27	1	第一次来敌人	有一群敌人出现在附近，他们即将对你发动攻击。敌人的强度与门派声望有关，门派声望越高，来觊觎你的敌人就会越强。	ui\Help2\031	21	m27
28	1	第一次受外门伤	你有一名角色受伤了，玩家可以在健康面板查看其伤势信息。伤势的回复速度与[color=#D06508]伤者恢复力[/color]，[color=#D06508]治疗者医术高低[/color]，[color=#D06508]治疗用药[/color]都有关系。如果治疗后伤势没有好转，请尝试改善这些条件。	ui\Help2\032	25	m28
29	1	第一次受内门伤	你有一名角色被异种真气所伤，玩家可以在健康面板查看其伤势信息。异种真气造成的伤势无法靠药物恢复，必须通过炼丹炉炼制[color=#D06508]对应的丹药[/color]，并给伤者手动服用才能化解伤势。异种真气所造成的伤势恢复速度与[color=#D06508]伤者恢复力[/color]，[color=#D06508]丹药药效[/color]有关。如果服用丹药后伤势有没有好转，请尝试改善这些要素。	ui\Help2\033	25	m29
30	1	第一次遇到瓶颈	你有一名修行者的修炼遇到了瓶颈。修行者在修炼过程中会遇到各种各样的瓶颈，只有突破瓶颈，才能继续修行。不同的瓶颈突破方法各不相同，根据瓶颈特点，优化其突破条件，可以让修行者更顺利的突破。	ui\Help2\034	65	m30
31	1	第一次心境低于50	你有一名修行者的心境出现了问题。心境是修行者重要的属性，不论修炼，突破，炼丹，炼宝都与心境息息相关。玩家可以通过人物面板中的[color=#D06508]修炼模式选择[/color]来调节弟子的心境。	ui\Help2\035	64	m31
32	1	第一次入魔	你有一名修行者入魔了。修行者虽然不会怠工，但是如果[color=#D06508]长时间情绪低落[/color]，就有可能入魔。入魔后角色将完全失去控制，只能等入魔恢复。请确保情绪不要太低，以防修行者入魔。	ui\Help2\036	64	m32
33	1	第一次结丹成功	你有一名修行者成功结成金丹了！金丹修士可以收徒，拥有庞大的灵气，掌握各种神通，可以说是修炼最关键的门槛。需要注意的是，金丹之后的修炼会变得十分困难，玩家需要[color=#D06508]利用自身的神通[/color]（例如入定之术），或者[color=#D06508]通过历练[/color]获得奇遇来快速获取修为。	ui\Help2\037		m33
34	1	第一次熔炼	当拥有内门弟子以后，你可以熔炼不需要的物品，将其变成灵石。每5000点灵气可以熔炼成一颗灵石。如果熔炼对象是法宝，法宝的品阶越高，熔炼获得的灵石就越多。	ui\Help2\038	68	m34
35	1	第一次学会神通	你有一名修行者习得一门神通。神通可以通过角色面板右侧的神通栏选择释放，合理利用神通可以很方面的解决各种棘手的问题。随着修行境界的提高，角色可以学会更多的神通。有的时候，历练中也能获得记载有神通的秘籍。	ui\Help2\039	69	m35
36	1	第一次触发秘闻	你获得了一条秘闻。玩家可以前往秘闻所在地去触发秘闻，并尝试获得秘闻的奖励。秘闻一般会有优质的奖励，但也比较看机缘，如果遇到无法完成的秘闻也不用过于纠结。	ui\Help2\040	610	m36
37	1	第一次学会术法	你有一名修行者习得一门术法。术法只有战斗中才能使用，可以通过角色面板右侧的术法栏选择释放。术法十分强力，但是也会消耗自身灵气，因此术法的释放需要谨慎。	ui\Help2\041		m37
38	1	第一次有访客	有一名访客暂时留在你的门派，你可以尝试说服他加入你的门派。在说服访客时，[color=#D06508]说服者的魅力与处世技能[/color]越高，[color=#D06508]访客的情绪[/color]越好，越容易说服他留下来。	ui\Help2\042		m38
39	0	第一次打开参悟界面	你打开了角色的参悟面板。在此面板，你可以规划并提升角色的能力。提升角色能力需要消耗经验，角色能力越强，道行越高，学习新能力消耗的经验也越多。经验值主要来自于日常修炼积累，历练中也有可能获得经验。	ui\Help2\043		m39
40	0	第一次点开阵法页面	你打开了阵法页面。在此页面，你可以通过布置阵法，将修行者的能力集合起来，形成一个有机的整体。组成阵法的角色既可以共同分担伤害，也可以合理发动进攻。	ui\Help\041	75	m40
41	1	第一次打开送礼面板	你打开了送礼面板。可从右侧选取物资，点送礼。通过送礼可以完成拜山，任务，或是送掌门心仪之物。		80	m41
42	1	第一次打开交易面板	你打开了交易面板。左侧为对方门派的物资，右侧为我方门派的物资。选择双方的物资后，点击交易即可。不同物品的价格不同，需要玩家自行摸索。		80	m42
43	1	第一次打开代理面板	你打开了扩张面板。在此面板，你可以查看此处的各种信息，并选择政策，或是建设。同时可以派遣弟子前来。通过各种政策，可以扩充我们的信众。		85	m43
44	1	第一次打开势力面板	你打开了势力面板。在此面板，你可以处理各个地点的事件，或是领取仓库中的物资。点击地点的图标可以展开该地点的扩展面板。		85	m44
45	1	第一次打开招揽面板	你打开了招揽面板。在此面板，可以将招揽来的角色送到门派或是其他代理点。		85	m45
46	0	第一次获得神修功法	你获得了一套神修功法，神道修行与传统金丹修行之法不同，这种修行方式通过收集信仰，开辟神国，供奉护法来增强自己。详细信息请在帮助中查阅。		91	m46
47	0	第一次炼制信仰圣物	你炼制了自己的信仰圣物，信仰圣物是神道修行者的本命法宝，随着神国的建设，会逐渐成长，直到成为超越极限的神兵利刃。		97	m47
48	0	第一次开辟神国	你开辟了自己的神国，神国建设是神道修行的核心内容，通过建设神国可以获得护法的庇佑，学会神通，增加信徒等。		98	m48
49	0	第一次打开异闻界面的隐秘页面	你打开了隐秘页面，在追寻太一门灭门的过程中，玩家会遇到各种难解的谜题，这些谜题会在隐秘页面中显示出来。你需要收集足够的信息来破解这些隐秘，获取事情的真相。		101	m49
50	0	第一次打开异闻界面的人物页面	你打开了人物页面，此处统一记录了玩家在江湖中结识的各种角色以及他们的信息。妥善利用这些信息可以让你在江湖中如鱼得水。		102	m50
51	0	第一次打开异闻界面的线索页面	你打开了线索页面，此处记录了玩家在游戏过程中获得的包括参与者，动机，证据在内的全部线索，这些线索并非条条都有作用。需要进行一定的甄别和判断。		103	m51
52	0	第一次与人交流	你现在开始与一个角色进行交流，在红尘众生版本，每一个角色都是生动而具体的。你可以根据自己的需要，获取目标的信息，打听需要的消息，获得想要的宝物。		104	m52
53	0	第一次角色飞升，死亡，逐出门派。	当玩家的角色飞升，踢出门派，或死亡后。这名角色的后续历程就会出现在话外别传中。存档之后，可以在主页面话外别传中查看这些角色之后的人生。		P11	m53
54	0	第一次建造藏经阁书架。	你建造了一个藏经阁书架，角色可以通过藏经阁书架录入并管理秘籍。每个藏经阁书架都会提供一定的容量，一本秘籍所需的道行越高，占用的容量就越多。		P12	m54
55	0	第一次使用蓝图功能。	你正在使用蓝图功能，玩家可以在任何时候框选最大20x20范围内的建筑，将其保存为蓝图。保存的蓝图全存档通用，并且可以通过万界天宫分享。		P13	m55
56	0	批量行为	你正在执行一个命令，这个命令可以进行批量操作。很多命令(例如:放置、搬运等)都可以批量执行。双击、框选或者按住SHIFT选择多个单位后即可进行批量操作。	ui\Help2\072		m56
57	0	第一次选中灵宠	你选中了灵宠。灵宠有各种各样的行为，其中有些对门派建设大有帮助，有些可提升自身的战斗能力。你可以训练这些行为，使其发生条件发生变化，朝你希望的方向发展。		111	m57
58	0	第一次打开训练面板	你打开了训练面板。在此面板，你可以对最近发生的五条行为进行鼓励或是反对，使宠物执行此行为的条件发生变化。		111	m58
59	0	第一次打开灵宠的基础属性面板	你打开了灵宠的基础属性面板。在此面板，你可以看到灵宠的各项基础属性，战斗属性，成长度，以及解锁或尚未解锁的神通和术法。你可以了解宠物当前的状态，以便朝想要的方向培养。		111	m59
60	0	第一次打开食谱面板	你打开了灵宠的食谱面板。在此面板，你可以看见所有灵宠吃过食物的营养。不同种类的营养可提高灵宠特定锻炼的效果，有些食物也会增加或减少灵宠的强壮/肥胖程度。		111	m60
61	0	第一次选中开智期动物	你选中了开智期的动物。动物面板上查看动物的基本状态和舒适度。舒适度越高，其思绪碎片产生速度越快。同时，也可以让动物去观察各种建筑、物品、植物，来获取特定的思绪碎片，这对于收集思绪大有帮助。		111	m61
62	0	第一次打开灵智与思考面板	你打开了灵智与思考面板。在此面板，你可以查看当前拥有的灵智碎片，和思绪的个数，以及精元的量。灵智碎片是动物半化形特有的资源，能提高其部分属性，非常珍贵。想要半化形，则需要足量的精元以及灵智碎片。半化形之后必定会经历化形天劫，来临时间与灵智碎片数量有关，越多则天劫越快，需谨慎抉择。		111	m62
63	0	第一次打开思考与思绪面板	你打开了思绪与思考面板。在此面板，你可以查看当前拥有的思绪片段，记忆与思绪。需要三个相同的思绪片段才能进行思考，并得到一个思绪。思考之后，思绪片段会全部遗忘，而记忆中的思绪片段会保留若干次。得到的思绪也只会在若干次思考后过期，并且同一种思绪的属性无法生效多次。所以请仔细斟酌。		111	m63
64	0	第一次打开行为面板	你打开了灵宠的行为面板。在此面板，你可以查看已发生过的行为的权重，以及最近三天灵宠所发生的行为。		111	m64
65	0	第一次学习体修功法	你选择了体修之道，体修之道是一套全新的修行体系，以精华淬炼身体，最终肉身成圣飞升成仙。详细信息请在帮助中查阅。		131	m65
66	0	第一次选中通灵的物体	你选中了一个通灵的物体，物体通灵后品阶会提升，还可以通过吞食其他物品来改变自己的五行配比，为化形塑体做准备。详细信息请在帮助中查阅。		141	m66
67	0	第一次打开淬体面板	你打开了淬体面板，你可以在淬体面板中选择不同的淬炼法，消耗不同的精华淬炼自己身体的各个部件来使体修获得成长。		131	m67
