ID	Kind	Name	WorldFlag	Weight	NpcStay	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2	sParam3	fParam3	sParam4	fParam4
20009	SchoolSocialGood	正向社交		1		4		据传{0}的弟子拜访了{1}的山门，恰逢{1}中几名内门弟子论剑演法。众人数日之间互展神通，打出许多精彩的对决，双方宾主尽欢。这场法会亦在修行界颇有流传，两派的关系也因此略有提升。	EventSocial		70						
20010	SchoolSocialGood	正向社交		1		4		据传{0}的长老拜访了{1}的山门，亲自拜见{1}的掌门，双方密谈数天，最后悄然离去。此事被有心人泄露，在修行界引起种种猜测。两派的关系也因此颇有提升。	EventSocial		70						
20011	SchoolSocialBad	反向社交		1		4		据传{0}的弟子在{1}附近游历时，遇到几名{1}的弟子。双方一言不合，大打出手，最后各有伤亡，含恨收场。此事传出亦在修行界引起一些议论，两派的关系略有恶化。	EventSocial		-10						
20012	SchoolSocialBad	反向社交		1		4		据传{0}的长老在{1}附近游历时，遇到几名{1}的弟子，其言语行止飞扬跋扈，傲慢非常，言语间对{0}多有诋毁。{0}的长老被此激怒，悍然出手，大开杀戒。此事传出后，在修行界掀起一阵猜测议论，两派的关系也恶化了许多。	EventSocial		-20						
20013	SchoolSocialBad	反向社交		1		4		据传{0}的弟子在[PLACE]附近游历时，察觉到一名{1}的长老闭关炼法的痕迹。{0}的弟子潜伏数日，在该长老炼法的关键时刻发动偷袭。猝不及防下，该长老竟然被彻底反噬，神形俱灭。此事在修行界掀起轩然大波，两派的关系也恶化了许多。	EventSocial		-20					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20014	SchoolSocialBad	反向社交		1		4		据传{0}的长老在[PLACE]附近游历时，巧遇一名{1}的长老讲道，{0}的长老隐匿自己的行踪，设计拆台，竟然让{1}的讲道变为一场闹剧，{1}声望大跌。此事传出，在近日修行界成为笑柄，两派的关系也恶化了许多。	EventSocial		-20					Place_HeYinCity|Place_HuCity|Place_PanSheCity|Place_ShanCity|Place_DaLiangCity|Place_Desert|Place_SouthForest|Place_FertileField|Place_CentralPlains|Place_CentralPlains5|Place_CentralPlains4|Place_FertileField3|Place_FertileField2|Place_FertileField1	
20015	SchoolSocialBad	反向社交		1		4		据传{0}的长老在[PLACE]附近游历时，巧遇一名{1}的长老。跟踪之下，竟然发现{1}的长老居然发现一座前古仙人洞府。{0}的长老欲平分此机缘，对方自然不允，双方为此大打出手，方圆百里死伤无算，化为焦土。此事在修行界引起诸多关注，两派的关系也恶化了许多。	EventSocial		-20					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20016	SchoolSocialBad	反向社交		1		4		据传{0}的长老在[PLACE]附近游历时，发现一处秘地灵息汇聚，查探下竟然发现一名{1}的长老正于此渡劫。{0}的长老发动阵法改变此地五行，使天劫威力大增。那{1}的长老当场神形俱灭。此事传出在修行界引起震动，两派的关系也恶化了许多。	EventSocial		-20					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20017	SchoolSocialBad	反向社交		1	3	4		据传{0}的长老在寻找[PLACE]出土的法宝时，竟然发现{1}的长老已然抢先一步。{0}的长老悍然出手，双方为此呼朋引伴，大动干戈，最后竟然演变为数十修士的乱战。此事在近日修行界引起偌大风波，两派的关系也恶化了许多。	EventSocial		-20					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20018	SchoolSocialBad	反向社交		1	3	4		据传{0}的长老在[PLACE]附近游历时，竟然遇到一只{1}运送天材地宝的队伍。{0}当即出手，将这批物资尽数夺走。{1}大为震怒，将此事通传修行界，必要{0}给个交代，两派的关系也大大恶化了。	EventSocial		-50					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20019	SchoolSocialBad	反向社交		1	3	4		据传{0}的长老在[PLACE]附近游历时，遇到了一名天赋绝代的弟子，疑似上古修士转世。但没想到的是，这名弟子已经被{1}的长老选中，正在暗中观察中。双方为争夺这名弟子爆发激烈的冲突，最终甚至引得双方掌门出面。此事近日震动修行界，两派的关系也大大恶化了。	EventSocial		-50					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20020	SchoolSocialBad	反向社交		1		4		据传{0}的长老潜入{1}的藏宝库偷走许多宝物，之后竟然全身而退。此事之后被{1}发觉，引起{1}全派震怒。此事近日震动修行界，两派的关系也大大恶化了。	EventSocial		-50						
20021	SchoolSocialBad	反向社交		1		4		据传{1}的长老潜入{0}的藏宝库企图盗取天材地宝，被{0}发现。{0}掌门震怒之下废掉这名入侵者的双眼与四肢，以儆效尤。此事近日震动修行界，两派的关系也大大恶化了。	EventSocial		-50						
20022	SchoolSocialBad	反向社交		1	3	4		近日，{0}最受长辈宠爱的小弟子与{1}的几名弟子在[PLACE]附近发生了摩擦，之后冲突连续升级，甚至引动双方门派长老叠出，竟演变为一场大规模的斗法。	EventSocial	此役持续月余，死伤无算，{0}最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。{1}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	-50	此役持续月余，死伤无算，{0}最终失败，其门派实力大损。{1}却大有所获，门派实力大增。此役之后，两派的关系也大大恶化了。	557	PowerCheck		Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20023	SchoolSocialBad	反向社交		1	3	4		近日，{0}与{1}同时发现一处[PLACE]附近的洞府残迹，据说此处留存有上古一名大能的道统，至关重要。双方为争夺此地机缘精锐尽出，展开了激烈的斗法。	EventSocial	几经争斗，{0}最终成功得到此处仙府，门派实力大涨。{1}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	-50	几经争斗，{1}最终成功得到此处仙府，门派实力大涨。{0}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	1462	PowerCheck		Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20024	SchoolSocialBad	反向社交		1		4		不知何故，近日{0}竟发动大量门下弟子对{1}山门展开围攻，双方于此各布仙阵，搅动数百里方圆天象崩乱，修行界为之震动。	EventSocial	占据先手之利，{0}最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。{1}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	-50	占据地利背靠山门之故，{1}最终胜利，其门下弟子亦从斗法中多有提升突破，门派实力大涨。{0}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	1008	PowerCheck			
20025	SchoolSocialBad	反向社交		1	3	4		近日，{0}派中大能竟然被{1}设计击杀于[PLACE]。{0}痛失柱石，全派震怒，于[PLACE]对{1}发动悍然反击。双方各出数百弟子斗法数日，附近百里剑气纵横，无数生灵涂炭。	EventSocial	斗法之中，{0}含恨出手，几乎全灭对手，其门下弟子亦从斗法中多有提升突破，门派实力反而有所提升。{1}却损失惨重，门派实力大损。此役之后，两派的关系也大大恶化了。	-50	斗法之中，{0}激怒之下进退失据，竟然中了{1}的连环之伏，大败亏输，门派实力大损。{1}却从中获利良多，门派实力大涨。此役之后，两派的关系也大大恶化了。	544	PowerCheck	1	Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20026	SchoolSocialBad	反向社交		1	3	4		近日，{0}派中诸多天材地宝被盗，派中长老施展圆光之术追索，竟是{1}门下弟子盗走。面对{0}的质问，{1}却表示概不知情。双方矛盾不可调和，于[PLACE]附近约定斗法论是非。	EventSocial	此次斗法，{0}精锐尽出，大占上风，终于逼迫{1}屈服赔偿。{0}亦因此门派实力大涨。{1}却赔了夫人又折兵，门派实力大损。两派的关系也大大恶化了。	-50	此次斗法，{1}早有准备，大占上风，成功逼迫{0}退去，门派实力大涨。{0}却白白损失了许多宝物，门派实力大损。两派的关系也大大恶化了。	589	PowerCheck		Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20027	SchoolSocialBad	反向社交		1	3	4		近日，{0}暗中联络一名隐居的上古修士加入其门派成为客卿长老。却没想到此修士亦是{1}的目标。{1}对此大怒，紧急派遣派中精锐于[PLACE]截杀这队人马。	EventSocial	出于对这名古修的重视，{0}出动多名精锐长老，成功击退来敌，门派实力大涨。{1}却赔了夫人又折兵，门派实力大损。两派的关系也大大恶化了。	-50	有心算无心，{0}措手不及，诸多弟子尽数丧命。虽然这名古修成功逃脱，但门派实力亦大损。{1}却趁机抢夺了许多古修为逃生丢下的法宝秘藏，门派实力大涨。两派的关系也大大恶化了。	1524	PowerCheck	1	Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20028	SchoolSocialGoodPlayer	拜访		1		4		一位仙友近日于附近游玩，想起你门派的山门就在附近，便顺便前来拜访。	EventVisitor	仙友来访	10	Human					
20034	SchoolSocialBadPlayer	袭击		1		4	1	[TXT]的一些弟子奉门派密令，袭击了你的门派。	EventAttack	Rich							
20040	SchoolSocialKeepGood	合作		1		4		据传{0}与{1}为探索一处新发现的异界洞天，即将展开全面合作。两派将在未来一段时间避免纷争，多多交流。	EventSocial								
20041	SchoolSocialKeepGood	合作		1		4		不知何故，近日{0}掌门突然孤身前往{1}，与其掌门密谈数日。归来后双方便约束门下弟子，减少争端，加大合作。	EventSocial								
20042	SchoolSocialKeepGood	合作		1		4		近日来，{0}与{1}争端不断，使修行界杀伐不断，颇为动荡。各派掌门为使事态不致失控，联名约束两派弟子，调停纷争。	EventSocial								
20044	SchoolSocialKeepBad	矛盾		1		4		近日，{0}掌门的亲传弟子在一场意外中命丧{1}之手。{0}掌门震怒，宣布与{1}全面开战。双方矛盾瞬间激化。	EventSocial								
20045	SchoolSocialKeepBad	矛盾		1		4		近日，{0}与{1}两派掌门共探异界归来，不知何故竟然反目成仇。双方门派受此影响，一段时间内矛盾激化，争端连连。	EventSocial								
20046	SchoolSocialKeepBad	矛盾		1		4		近日，{0}与{1}两派各派精锐弟子探索一处仙家遗府，未想到竟然全军覆没。两派为此顿生猜忌，一时间内争端频出。	EventSocial								
20048	SchoolPowerUp	实力上升		1		4		据传{0}门中一名闭关千余年的长老{1}成功修成大法出关。{0}再添一名大能。	EventPower				887	AddElder	1		
20049	SchoolPowerUp	实力上升		1	1	4		据传{0}在[PLACE]寻找到一家上古宗派的洞天小世界，一番收获下，门派实力大涨。	EventPower				1677			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20050	SchoolPowerUp	实力上升		1	1	4		据传{0}于[PLACE]击杀蛟龙，收获大量宝材灵物，门派实力大涨。	EventPower				412			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20051	SchoolPowerUp	实力上升		1	1	4		据传{0}于[PLACE]击杀凶凤，收获大量宝材灵物，门派实力大涨。	EventPower				433			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20052	SchoolPowerUp	实力上升		1	1	4		据传{0}于[PLACE]击败烛龙，收获大量宝材灵物，门派实力大涨。	EventPower				445			Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14	
20053	SchoolPowerUp	实力上升		1		4		据传{0}寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	EventPower				838				
20054	SchoolPowerUp	实力上升		1		4		据传{0}派中飞升的尊长突然降下大量恩赐，门派实力大涨。	EventPower				557				
20055	SchoolPowerUp	实力上升		1		4		据传{0}优化了派中核心阵法，门派实力大涨。	EventPower				344				
20056	SchoolPowerUp	实力上升		1		4		据传{0}派中天地灵根成熟，引动天道波动，灵气汇聚。受此泽被，整个门派实力大增。	EventPower				242				
20057	SchoolPowerUp	实力上升		1		4		据传{0}派中祖师突然降下法身，为门派讲道。门派实力大增。	EventPower				677				
20058	SchoolPowerUp	实力上升		1		4		据传一个隐居深海的小宗门为逃避海中巨妖的威胁而逃往大陆，举派投靠了{0}，{0}因此门派实力大增。	EventPower				1557				
20059	SchoolPowerUp	实力上升		1		4		据传{0}近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	EventPower				988				
20060	SchoolPowerDown	实力下降		1		4		据传{0}派中一名大能因滞留凡间太久而天劫临头。渡劫之时，因天象突变而差之毫厘，陨落于天象之下。	EventPower				-789	DelElder	1		
20061	SchoolPowerDown	实力下降		1		4		据传{0}全门派得了一种看似流感的怪病，大量内门弟子因此死亡。门派实力大损。	EventPower				-1756				
20062	SchoolPowerDown	实力下降		1		4		据传{0}派中长老尽数外出时，宗门被蛟龙入侵。泽国之下大量天材地宝被损毁。门派实力大减。	EventPower				-412				
20063	SchoolPowerDown	实力下降		1		4		据传{0}派中长老尽数外出时，宗门被凶凤入侵。太阳之眼下大量天材地宝被损毁。门派实力大减。	EventPower				-433				
20064	SchoolPowerDown	实力下降		1		4		据传{0}派中长老尽数外出时，宗门被烛龙入侵。大量孵化的阴阳之卵为门派带来重创。门派实力大减。	EventPower				-445				
20065	SchoolPowerDown	实力下降		1		4		据传{0}派中一支分堂携带门派诸多宝物尽数叛逃，门派实力大损。	EventPower				-838				
20066	SchoolPowerDown	实力下降		1		4		据传{0}的精锐在探索前古仙人洞府时不慎触发仙府警戒，全军覆没。门派实力也由此大损。	EventPower				-557				
20067	SchoolPowerDown	实力下降		1		4		据传{0}的核心弟子在演练阵法时出了纰漏，阵法反噬下均身受重伤。门派实力大减。	EventPower				-344				
