境界1无属性瓶颈名,子无甲,子无乙,子无丙,子无丁,子无戊,子无己,子无庚,子无辛,子无壬,子无癸
境界4木属性瓶颈名,卯木甲,卯木乙,卯木丙,卯木丁,卯木戊,卯木己,卯木庚,卯木辛,卯木壬,卯木癸
境界4水属性瓶颈名,卯水甲,卯水乙,卯水丙,卯水丁,卯水戊,卯水己,卯水庚,卯水辛,卯水壬,卯水癸
境界4火属性瓶颈名,卯火甲,卯火乙,卯火丙,卯火丁,卯火戊,卯火己,卯火庚,卯火辛,卯火壬,卯火癸
境界4土属性瓶颈名,卯土甲,卯土乙,卯土丙,卯土丁,卯土戊,卯土己,卯土庚,卯土辛,卯土壬,卯土癸
境界4混元属性瓶颈名,卯混元甲,卯混元乙,卯混元丙,卯混元丁,卯混元戊,卯混元己,卯混元庚,卯混元辛,卯混元壬,卯混元癸
境界5无属性瓶颈名,辰无甲,辰无乙,辰无丙,辰无丁,辰无戊,辰无己,辰无庚,辰无辛,辰无壬,辰无癸
境界5金属性瓶颈名,辰金甲,辰金乙,辰金丙,辰金丁,辰金戊,辰金己,辰金庚,辰金辛,辰金壬,辰金癸
境界5木属性瓶颈名,辰木甲,辰木乙,辰木丙,辰木丁,辰木戊,辰木己,辰木庚,辰木辛,辰木壬,辰木癸
境界5水属性瓶颈名,辰水甲,辰水乙,辰水丙,辰水丁,辰水戊,辰水己,辰水庚,辰水辛,辰水壬,辰水癸
境界5火属性瓶颈名,辰火甲,辰火乙,辰火丙,辰火丁,辰火戊,辰火己,辰火庚,辰火辛,辰火壬,辰火癸
境界5土属性瓶颈名,辰土甲,辰土乙,辰土丙,辰土丁,辰土戊,辰土己,辰土庚,辰土辛,辰土壬,辰土癸
境界5混元属性瓶颈名,辰混元甲,辰混元乙,辰混元丙,辰混元丁,辰混元戊,辰混元己,辰混元庚,辰混元辛,辰混元壬,辰混元癸
境界6无属性瓶颈名,巳无甲,巳无乙,巳无丙,巳无丁,巳无戊,巳无己,巳无庚,巳无辛,巳无壬,巳无癸
境界6金属性瓶颈名,巳金甲,巳金乙,巳金丙,巳金丁,巳金戊,巳金己,巳金庚,巳金辛,巳金壬,巳金癸
境界6木属性瓶颈名,巳木甲,巳木乙,巳木丙,巳木丁,巳木戊,巳木己,巳木庚,巳木辛,巳木壬,巳木癸
境界6水属性瓶颈名,巳水甲,巳水乙,巳水丙,巳水丁,巳水戊,巳水己,巳水庚,巳水辛,巳水壬,巳水癸
境界6火属性瓶颈名,巳火甲,巳火乙,巳火丙,巳火丁,巳火戊,巳火己,巳火庚,巳火辛,巳火壬,巳火癸
境界6土属性瓶颈名,巳土甲,巳土乙,巳土丙,巳土丁,巳土戊,巳土己,巳土庚,巳土辛,巳土壬,巳土癸
境界6混元属性瓶颈名,巳混元甲,巳混元乙,巳混元丙,巳混元丁,巳混元戊,巳混元己,巳混元庚,巳混元辛,巳混元壬,巳混元癸
境界7无属性瓶颈名,午无甲,午无乙,午无丙,午无丁,午无戊,午无己,午无庚,午无辛,午无壬,午无癸
境界7金属性瓶颈名,午金甲,午金乙,午金丙,午金丁,午金戊,午金己,午金庚,午金辛,午金壬,午金癸
境界7木属性瓶颈名,午木甲,午木乙,午木丙,午木丁,午木戊,午木己,午木庚,午木辛,午木壬,午木癸
境界7水属性瓶颈名,午水甲,午水乙,午水丙,午水丁,午水戊,午水己,午水庚,午水辛,午水壬,午水癸
境界7火属性瓶颈名,午火甲,午火乙,午火丙,午火丁,午火戊,午火己,午火庚,午火辛,午火壬,午火癸
境界7土属性瓶颈名,午土甲,午土乙,午土丙,午土丁,午土戊,午土己,午土庚,午土辛,午土壬,午土癸
境界7混元属性瓶颈名,午混元甲,午混元乙,午混元丙,午混元丁,午混元戊,午混元己,午混元庚,午混元辛,午混元壬,午混元癸
境界8无属性瓶颈名,未无甲,未无乙,未无丙,未无丁,未无戊,未无己,未无庚,未无辛,未无壬,未无癸
境界8金属性瓶颈名,未金甲,未金乙,未金丙,未金丁,未金戊,未金己,未金庚,未金辛,未金壬,未金癸
境界8木属性瓶颈名,未木甲,未木乙,未木丙,未木丁,未木戊,未木己,未木庚,未木辛,未木壬,未木癸
境界8水属性瓶颈名,未水甲,未水乙,未水丙,未水丁,未水戊,未水己,未水庚,未水辛,未水壬,未水癸
境界8火属性瓶颈名,未火甲,未火乙,未火丙,未火丁,未火戊,未火己,未火庚,未火辛,未火壬,未火癸
境界8土属性瓶颈名,未土甲,未土乙,未土丙,未土丁,未土戊,未土己,未土庚,未土辛,未土壬,未土癸
境界8混元属性瓶颈名,未混元甲,未混元乙,未混元丙,未混元丁,未混元戊,未混元己,未混元庚,未混元辛,未混元壬,未混元癸
境界9无属性瓶颈名,申无甲,申无乙,申无丙,申无丁,申无戊,申无己,申无庚,申无辛,申无壬,申无癸
境界9金属性瓶颈名,申金甲,申金乙,申金丙,申金丁,申金戊,申金己,申金庚,申金辛,申金壬,申金癸
境界9木属性瓶颈名,申木甲,申木乙,申木丙,申木丁,申木戊,申木己,申木庚,申木辛,申木壬,申木癸
境界9水属性瓶颈名,申水甲,申水乙,申水丙,申水丁,申水戊,申水己,申水庚,申水辛,申水壬,申水癸
境界9火属性瓶颈名,申火甲,申火乙,申火丙,申火丁,申火戊,申火己,申火庚,申火辛,申火壬,申火癸
境界9土属性瓶颈名,申土甲,申土乙,申土丙,申土丁,申土戊,申土己,申土庚,申土辛,申土壬,申土癸
境界9混元属性瓶颈名,申混元甲,申混元乙,申混元丙,申混元丁,申混元戊,申混元己,申混元庚,申混元辛,申混元壬,申混元癸
境界10无属性瓶颈名,酉无甲,酉无乙,酉无丙,酉无丁,酉无戊,酉无己,酉无庚,酉无辛,酉无壬,酉无癸
境界10金属性瓶颈名,酉金甲,酉金乙,酉金丙,酉金丁,酉金戊,酉金己,酉金庚,酉金辛,酉金壬,酉金癸
境界10木属性瓶颈名,酉木甲,酉木乙,酉木丙,酉木丁,酉木戊,酉木己,酉木庚,酉木辛,酉木壬,酉木癸
境界10水属性瓶颈名,酉水甲,酉水乙,酉水丙,酉水丁,酉水戊,酉水己,酉水庚,酉水辛,酉水壬,酉水癸
境界10火属性瓶颈名,酉火甲,酉火乙,酉火丙,酉火丁,酉火戊,酉火己,酉火庚,酉火辛,酉火壬,酉火癸
境界10土属性瓶颈名,酉土甲,酉土乙,酉土丙,酉土丁,酉土戊,酉土己,酉土庚,酉土辛,酉土壬,酉土癸
境界10混元属性瓶颈名,酉混元甲,酉混元乙,酉混元丙,酉混元丁,酉混元戊,酉混元己,酉混元庚,酉混元辛,酉混元壬,酉混元癸
境界11无属性瓶颈名,戌无甲,戌无乙,戌无丙,戌无丁,戌无戊,戌无己,戌无庚,戌无辛,戌无壬,戌无癸
境界11金属性瓶颈名,戌金甲,戌金乙,戌金丙,戌金丁,戌金戊,戌金己,戌金庚,戌金辛,戌金壬,戌金癸
境界11木属性瓶颈名,戌木甲,戌木乙,戌木丙,戌木丁,戌木戊,戌木己,戌木庚,戌木辛,戌木壬,戌木癸
境界11水属性瓶颈名,戌水甲,戌水乙,戌水丙,戌水丁,戌水戊,戌水己,戌水庚,戌水辛,戌水壬,戌水癸
境界11火属性瓶颈名,戌火甲,戌火乙,戌火丙,戌火丁,戌火戊,戌火己,戌火庚,戌火辛,戌火壬,戌火癸
境界11土属性瓶颈名,戌土甲,戌土乙,戌土丙,戌土丁,戌土戊,戌土己,戌土庚,戌土辛,戌土壬,戌土癸
境界11混元属性瓶颈名,戌混元甲,戌混元乙,戌混元丙,戌混元丁,戌混元戊,戌混元己,戌混元庚,戌混元辛,戌混元壬,戌混元癸
境界12无属性瓶颈名,亥无甲,亥无乙,亥无丙,亥无丁,亥无戊,亥无己,亥无庚,亥无辛,亥无壬,亥无癸
境界12金属性瓶颈名,亥金甲,亥金乙,亥金丙,亥金丁,亥金戊,亥金己,亥金庚,亥金辛,亥金壬,亥金癸
境界12木属性瓶颈名,亥木甲,亥木乙,亥木丙,亥木丁,亥木戊,亥木己,亥木庚,亥木辛,亥木壬,亥木癸
境界12水属性瓶颈名,亥水甲,亥水乙,亥水丙,亥水丁,亥水戊,亥水己,亥水庚,亥水辛,亥水壬,亥水癸
境界12火属性瓶颈名,亥火甲,亥火乙,亥火丙,亥火丁,亥火戊,亥火己,亥火庚,亥火辛,亥火壬,亥火癸
境界12土属性瓶颈名,亥土甲,亥土乙,亥土丙,亥土丁,亥土戊,亥土己,亥土庚,亥土辛,亥土壬,亥土癸
境界12混元属性瓶颈名,亥混元甲,亥混元乙,亥混元丙,亥混元丁,亥混元戊,亥混元己,亥混元庚,亥混元辛,亥混元壬,亥混元癸
