Jobp	Action	RJob
Eat_Item_RedGinseng	Eat_Item_RedGinseng	EatItem
Eat_Item_PurpleGanodermaLucidum	Eat_Item_PurpleGanodermaLucidum	EatItem
Eat_Item_TuEssence	Eat_Item_TuEssence	EatItem
Eat_Item_HuoEssence	Eat_Item_HuoEssence	EatItem
Eat_Item_ShuiEssence	Eat_Item_ShuiEssence	EatItem
Eat_Item_JinEssence	Eat_Item_JinEssence	EatItem
Eat_Item_MuEssence	Eat_Item_MuEssence	EatItem
Eat_Item_LifeStream	Eat_Item_LifeStream	EatItem
Eat_Item_LongEgg	Eat_Item_LongEgg	EatItem
Eat_Item_FengEgg	Eat_Item_FengEgg	EatItem
Eat_Item_DragonShit	Eat_Item_DragonShit	EatItem
Eat_Item_Jiaozi	Eat_Item_Jiaozi	EatItem
Eat_Item_BossFeng_Meat	Eat_Item_BossFeng_Meat	EatItem
Eat_Item_BossLong_Meat	Eat_Item_BossLong_Meat	EatItem
Eat_Item_BossZhuLong_Meat	Eat_Item_BossZhuLong_Meat	EatItem
Eat_Item_Cake	Eat_Item_Cake	EatItem
Eat_Item_MonsterBlood	Eat_Item_MonsterBlood	EatItem
Eat_Item_EarthEssence	Eat_Item_EarthEssence	EatItem
Eat_Item_SilverGrit	Eat_Item_SilverGrit	EatItem
Eat_Item_CopperGrit	Eat_Item_CopperGrit	EatItem
Eat_Item_Cinnabar	Eat_Item_Cinnabar	EatItem
Eat_Item_LingMuXueJie	Eat_Item_LingMuXueJie	EatItem
Eat_Item_EarthEssence_1	Eat_Item_EarthEssence_1	EatItem
Eat_Item_EarthEssence1_1	Eat_Item_EarthEssence1_1	EatItem
Eat_Item_Healroot	Eat_Item_Healroot	EatItem
Eat_Item_Mint	Eat_Item_Mint	EatItem
Eat_Item_MagicHerb	Eat_Item_MagicHerb	EatItem
Eat_Item_Laxative	Eat_Item_Laxative	EatItem
Eat_Item_Bamboo	Eat_Item_Bamboo	EatItem
Eat_Item_BambooShoot	Eat_Item_BambooShoot	EatItem
Eat_Item_WuDang_HuangJingFen	Eat_Item_WuDang_HuangJingFen	EatItem
Eat_Item_Dan_WuQiNoHunger2	Eat_Item_Dan_WuQiNoHunger2	EatItem
Eat_Item_Dan_SanHuaHuangJing	Eat_Item_Dan_SanHuaHuangJing	EatItem
FakeEatItem	FakeEatItem	FakeEatItem
