ActionWeight	CValue	L1	L2	L3	L4	L5
CarryIncomingBodyToDest	CarryIncomingBodyToDestLevel	1	2	3	4	5
HelpCarry	HelpCarryLevel	1	2	3	4	5
HelpTimber	HelpTimberLevel	1	2	3	4	5
HelpMine	HelpMineLevel	1	2	3	4	5
HelpFind	HelpFindLevel	1	2	3	4	5
HelpKill	HelpKillLevel	1	2	3	4	5
HelpPlant	HelpPlantLevel	1	2	3	4	5
CureFreeze	CureFreezeLevel	1	2	3	4	5
CureHot	CureHotLevel	1	2	3	4	5
HelpCook	HelpCookLevel	1	2	3	4	5
HeatEndure	HeatEndureLevel	1	2	3	4	5
ColdEndure	ColdEndureLevel	1	2	3	4	5
HelpPlay	HelpPlayLevel	1	2	3	4	5
PlayToy	PlayToyLevel	1	2	3	4	5
TrainQiGan	TrainQiGanLevel	1	2	3	4	5
TrainNeiDan	TrainNeiDanLevel	1	2	3	4	5
TrainHuTi	TrainHuTiLevel	1	2	3	4	5
TrainLingZhi	TrainLingZhiLevel	1	2	3	4	5
TrainShuFa	TrainShuFaLevel	1	2	3	4	5
AtkDizzyOuter	AtkDizzyOuterLevel	1	2	3	4	5
AtkDizzyInner	AtkDizzyInnerLevel	1	2	3	4	5
AtkDizzyIncoming	AtkDizzyIncomingLevel	1	2	3	4	5
AtkDizzyVisitor	AtkDizzyVisitorLevel	1	2	3	4	5
EatWeight	EatWeight	15	30	45	60	75
EatShit	EatShit	5	20	40	80	120
EatEssence	EatEssence	5	20	40	80	120
EatDrug	EatDrug	5	20	40	80	120
EatWheat	EatWheat	5	20	40	80	120
EatDryMeat	EatDryMeat	5	20	40	80	120
EatPear	EatPear	5	20	40	80	120
EatMeat	EatMeat	5	20	40	80	120
EatCook	EatCook	5	20	40	80	120
BiteBuilding	BiteBuilding	5	20	40	80	120
BiteClothes	BiteClothes	5	20	40	80	120
BiteOuter	BiteOuter	5	20	40	80	120
BiteInner	BiteInner	5	20	40	80	120
BiteVisitor	BiteVisitor	5	20	40	80	120
BiteIncoming	BiteIncoming	5	20	40	80	120
AtkEnemy	AtkEnemy	5	20	40	80	120
ShitAtShitPlace	ShitAtShitPlace	5	20	40	80	120
ShitAtPlants	ShitAtPlants	5	20	40	80	120
ShitAtDogHouse	ShitAtDogHouse	5	20	40	80	120
ShitAtStorage	ShitAtStorage	5	20	40	80	120
ShitOnBed	ShitOnBed	5	20	40	80	120
ShitInFarm	ShitInFarm	5	20	40	80	120
CarryOuterToBed	CarryOuterToBed	5	20	40	80	120
CarryInnerToBed	CarryInnerToBed	5	20	40	80	120
CarryVisitorToBed	CarryVisitorToBed	5	20	40	80	120
CarryIncomingToBed	CarryIncomingToBed	5	20	40	80	120
CarryOuterToDest	CarryOuterToDest	5	20	40	80	120
CarryInnerToDest	CarryInnerToDest	5	20	40	80	120
CarryVisitorToDest	CarryVisitorToDest	5	20	40	80	120
CarryEnemyToDest	CarryEnemyToDest	5	20	40	80	120
CarryIncomingToDest	CarryIncomingToDest	5	20	40	80	120
CarryInnerToDust	CarryInnerToDust	5	20	40	80	120
CarryOuterToDust	CarryOuterToDust	5	20	40	80	120
CarryVisitorToDust	CarryVisitorToDust	5	20	40	80	120
CarryEnemyBodyToDest	CarryEnemyBodyToDest	5	20	40	80	120
CarryVisitorBodyToDest	CarryVisitorBodyToDest	5	20	40	80	120
CarryIncomingBodyToDest	CarryIncomingBodyToDest	5	20	40	80	120
HelpCarry	HelpCarry	5	20	40	80	120
HelpTimber	HelpTimber	5	20	40	80	120
HelpMine	HelpMine	5	20	40	80	120
HelpFind	HelpFind	5	20	40	80	120
HelpKill	HelpKill	5	20	40	80	120
HelpPlant	HelpPlant	5	20	40	80	120
CureFreeze	CureFreeze	5	20	40	80	120
CureHot	CureHot	5	20	40	80	120
HelpCook	HelpCook	5	20	40	80	120
HeatEndure	HeatEndure	5	20	40	80	120
ColdEndure	ColdEndure	5	20	40	80	120
HelpPlay	HelpPlay	5	20	40	80	120
PlayToy	PlayToy	5	20	40	80	120
TrainQiGan	TrainQiGan	10	20	40	80	100
TrainNeiDan	TrainNeiDan	10	20	40	80	100
TrainHuTi	TrainHuTi	10	20	40	80	100
TrainLingZhi	TrainLingZhi	10	20	40	80	100
TrainShuFa	TrainShuFa	10	20	40	80	100
AtkDizzyOuter	AtkDizzyOuter	5	20	40	80	120
AtkDizzyInner	AtkDizzyInner	5	20	40	80	120
AtkDizzyComing	AtkDizzyIncoming	5	20	40	80	120
AtkDizzyVisitor	AtkDizzyVisitor	5	20	40	80	120
HealInner	CureInnerLevel	1	2	3	4	5
HealInner	CureInner	5	20	40	80	120
Pee	HelpPlantLevel	1	2	3	4	5
Pee	HelpPlant	5	20	40	80	120
FastCook	HelpCookLevel	1	2	3	4	5
FastCook	HelpCook	5	20	40	80	120
CarryOuterBodyToDest	CarryOuterBodyToDestLevel	1	2	3	4	5
CarryInnerBodyToDest	CarryInnerBodyToDestLevel	1	2	3	4	5
CarryOuterBodyToDest	CarryOuterBodyToDest	5	20	40	80	120
CarryInnerBodyToDest	CarryInnerBodyToDest	5	20	40	80	120
HelpPlantD	HelpPlantDLevel	1	2	3	4	5
HelpPlantD	HelpPlantD	5	20	40	80	120
FeedTongXie	FeedTongXieLevel	1	2	3	4	5
FeedTongXie	FeedTongXie	5	20	40	80	120
Feed_Item_Dan_Happiness	Feed_Item_Dan_HappinessLevel	1	2	3	4	5
Feed_Item_Dan_PracticeSpeed	Feed_Item_Dan_PracticeSpeedLevel	1	2	3	4	5
Feed_Item_Dan_CalmDown	Feed_Item_Dan_CalmDownLevel	1	2	3	4	5
Feed_Item_LingStone	Feed_Item_LingStoneLevel	1	2	3	4	5
Feed_Item_LingCrystal	Feed_Item_LingCrystalLevel	1	2	3	4	5
Feed_Item_Dan_Happiness	Feed_Item_Dan_Happiness	5	20	40	80	120
Feed_Item_Dan_PracticeSpeed	Feed_Item_Dan_PracticeSpeed	5	20	40	80	120
Feed_Item_Dan_CalmDown	Feed_Item_Dan_CalmDown	5	20	40	80	120
Feed_Item_LingStone	Feed_Item_LingStone	5	20	40	80	120
Feed_Item_LingCrystal	Feed_Item_LingCrystal	5	20	40	80	120
BiteExpel	BiteExpelLevel	1	2	3	4	5
BiteExpel	BiteExpel	5	20	40	80	120
AtkDizzyExpel	AtkDizzyExpel	5	20	40	80	120
AtkDizzyExpel	AtkDizzyExpelLevel	1	2	3	4	5
CarryMortalToDest	CarryMortalToDest	5	20	40	80	120
CarryMortalToDest	CarryMortalToDestLevel	1	2	3	4	5
CarryMortalBodyToDest	CarryMortalBodyToDest	5	20	40	80	120
CarryMortalBodyToDest	CarryMortalBodyToDestLevel	1	2	3	4	5
Eat_Item_SnakeGallbladder	Eat_Item_SnakeGallbladderLevel	1	2	3	4	5
Eat_Item_BearGallbladder	Eat_Item_BearGallbladderLevel	1	2	3	4	5
Eat_Item_RedGinseng	Eat_Item_RedGinsengLevel	1	2	3	4	5
Eat_Item_PurpleGanodermaLucidum	Eat_Item_PurpleGanodermaLucidumLevel	1	2	3	4	5
Eat_Item_TuEssence	Eat_Item_TuEssenceLevel	1	2	3	4	5
Eat_Item_HuoEssence	Eat_Item_HuoEssenceLevel	1	2	3	4	5
Eat_Item_ShuiEssence	Eat_Item_ShuiEssenceLevel	1	2	3	4	5
Eat_Item_JinEssence	Eat_Item_JinEssenceLevel	1	2	3	4	5
Eat_Item_MuEssence	Eat_Item_MuEssenceLevel	1	2	3	4	5
Eat_Item_LifeStream	Eat_Item_LifeStreamLevel	1	2	3	4	5
Eat_Item_LongEgg	Eat_Item_LongEggLevel	1	2	3	4	5
Eat_Item_FengEgg	Eat_Item_FengEggLevel	1	2	3	4	5
Eat_Item_DragonShit	Eat_Item_DragonShitLevel	1	2	3	4	5
Eat_Item_Jiaozi	Eat_Item_JiaoziLevel	1	2	3	4	5
Eat_Item_BossFeng_Meat	Eat_Item_BossFeng_MeatLevel	1	2	3	4	5
Eat_Item_BossLong_Meat	Eat_Item_BossLong_MeatLevel	1	2	3	4	5
Eat_Item_BossZhuLong_Meat	Eat_Item_BossZhuLong_MeatLevel	1	2	3	4	5
Eat_Item_Cake	Eat_Item_CakeLevel	1	2	3	4	5
Eat_Item_MonsterBlood	Eat_Item_MonsterBloodLevel	1	2	3	4	5
Eat_Item_EarthEssence	Eat_Item_EarthEssenceLevel	1	2	3	4	5
Eat_Item_SilverGrit	Eat_Item_SilverGritLevel	1	2	3	4	5
Eat_Item_CopperGrit	Eat_Item_CopperGritLevel	1	2	3	4	5
Eat_Item_Cinnabar	Eat_Item_CinnabarLevel	1	2	3	4	5
Eat_Item_LingMuXueJie	Eat_Item_LingMuXueJieLevel	1	2	3	4	5
Eat_Item_EarthEssence_1	Eat_Item_EarthEssence_1Level	1	2	3	4	5
Eat_Item_EarthEssence1_1	Eat_Item_EarthEssence1_1Level	1	2	3	4	5
Eat_Item_Healroot	Eat_Item_HealrootLevel	1	2	3	4	5
Eat_Item_Mint	Eat_Item_MintLevel	1	2	3	4	5
Eat_Item_MagicHerb	Eat_Item_MagicHerbLevel	1	2	3	4	5
Eat_Item_Laxative	Eat_Item_LaxativeLevel	1	2	3	4	5
Eat_Item_SnakeGallbladder	Eat_Item_SnakeGallbladder	20	20	40	70	100
Eat_Item_BearGallbladder	Eat_Item_BearGallbladder	20	20	40	70	100
Eat_Item_RedGinseng	Eat_Item_RedGinseng	20	20	40	70	100
Eat_Item_PurpleGanodermaLucidum	Eat_Item_PurpleGanodermaLucidum	20	20	40	70	100
Eat_Item_TuEssence	Eat_Item_TuEssence	20	20	40	70	100
Eat_Item_HuoEssence	Eat_Item_HuoEssence	20	20	40	70	100
Eat_Item_ShuiEssence	Eat_Item_ShuiEssence	20	20	40	70	100
Eat_Item_JinEssence	Eat_Item_JinEssence	20	20	40	70	100
Eat_Item_MuEssence	Eat_Item_MuEssence	20	20	40	70	100
Eat_Item_LifeStream	Eat_Item_LifeStream	20	20	40	70	100
Eat_Item_LongEgg	Eat_Item_LongEgg	20	20	40	70	100
Eat_Item_FengEgg	Eat_Item_FengEgg	20	20	40	70	100
Eat_Item_DragonShit	Eat_Item_DragonShit	20	20	40	70	100
Eat_Item_Jiaozi	Eat_Item_Jiaozi	20	20	40	70	100
Eat_Item_BossFeng_Meat	Eat_Item_BossFeng_Meat	20	20	40	70	100
Eat_Item_BossLong_Meat	Eat_Item_BossLong_Meat	20	20	40	70	100
Eat_Item_BossZhuLong_Meat	Eat_Item_BossZhuLong_Meat	20	20	40	70	100
Eat_Item_Cake	Eat_Item_Cake	20	20	40	70	100
Eat_Item_MonsterBlood	Eat_Item_MonsterBlood	20	20	40	70	100
Eat_Item_EarthEssence	Eat_Item_EarthEssence	20	20	40	70	100
Eat_Item_SilverGrit	Eat_Item_SilverGrit	20	20	40	70	100
Eat_Item_CopperGrit	Eat_Item_CopperGrit	20	20	40	70	100
Eat_Item_Cinnabar	Eat_Item_Cinnabar	20	20	40	70	100
Eat_Item_LingMuXueJie	Eat_Item_LingMuXueJie	20	20	40	70	100
Eat_Item_EarthEssence_1	Eat_Item_EarthEssence_1	20	20	40	70	100
Eat_Item_EarthEssence1_1	Eat_Item_EarthEssence1_1	20	20	40	70	100
Eat_Item_Healroot	Eat_Item_Healroot	20	20	40	70	100
Eat_Item_Mint	Eat_Item_Mint	20	20	40	70	100
Eat_Item_MagicHerb	Eat_Item_MagicHerb	20	20	40	70	100
Eat_Item_Laxative	Eat_Item_Laxative	20	20	40	70	100
Eat_Item_Bamboo	Eat_Item_BambooLevel	1	2	3	4	5
Eat_Item_BambooShoot	Eat_Item_BambooShootLevel	1	2	3	4	5
Eat_Item_Bamboo	Eat_Item_Bamboo	20	20	40	70	100
Eat_Item_BambooShoot	Eat_Item_BambooShoot	20	20	40	70	100
Eat_Item_WuDang_HuangJingFen	Eat_Item_WuDang_HuangJingFenLevel	1	2	3	4	5
Eat_Item_Dan_WuQiNoHunger2	Eat_Item_Dan_WuQiNoHunger2Level	1	2	3	4	5
Eat_Item_Dan_SanHuaHuangJing	Eat_Item_Dan_SanHuaHuangJingLevel	1	2	3	4	5
Eat_Item_WuDang_HuangJingFen	Eat_Item_WuDang_HuangJingFen	20	20	40	70	100
Eat_Item_Dan_WuQiNoHunger2	Eat_Item_Dan_WuQiNoHunger2	20	20	40	70	100
Eat_Item_Dan_SanHuaHuangJing	Eat_Item_Dan_SanHuaHuangJing	20	20	40	70	100
