ID	race	sex	path	x	y	rotation	scale
70	xiong	0	res/Sprs/rolepainting/man-LH001_BH04	265	249	0	1
71	xiong	0	res/Sprs/rolepainting/man-LH001_BH05	192	210	0	1
72	xiong	0	res/Sprs/rolepainting/man-LHman_SS01	285	227	0	1
73	xiong	0	res/Sprs/rolepainting/man-LH001_BH01	258	249	0	1
74	xiong	0	res/Sprs/rolepainting/man-LHman_SS02	289	255	0	1.3
75	xiong	0	res/Sprs/rolepainting/man-LHman_SS03	256	238	-10	1
76	xiong	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	264	254	0	1
77	xiong	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	249	255	0	1
78	xiong	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	234	291	0	1
79	xiong	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	263	230	0	1
80	xiong	0	res/Sprs/rolepainting/lady-LHlady_SS03	283	225	0	1
81	xiong	0	res/Sprs/rolepainting/lady-LHlady_SS02	259	242	0	1
82	xiong	0	res/Sprs/rolepainting/lady-LHlady_SS01	215	193	0	1
83	wa	0	res/Sprs/rolepainting/monster_half-monster_TY_wa01	256	256	0	1
84	wa	0	res/Sprs/rolepainting/man-LH001_BH01	258	249	0	1
85	wa	0	res/Sprs/rolepainting/man-LH001_BH02	169	489	180	1
86	wa	0	res/Sprs/rolepainting/man-LH001_BH03	277	194	-17	1.2
87	wa	0	res/Sprs/rolepainting/man-LH001_BH04	265	230	0	1
88	wa	0	res/Sprs/rolepainting/man-LH001_BH05	257	321	0	1
89	wa	0	res/Sprs/rolepainting/man-LHman_SS01	265	225	0	1
90	wa	0	res/Sprs/rolepainting/man-LHman_SS02	281	259	0	1.2
91	wa	0	res/Sprs/rolepainting/man-LHman_SS03	269	264	0	1.2
92	wa	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	230	234	0	1
93	wa	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	300	223	0	1
94	wa	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	217	265	0	1
95	wa	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	302	196	0	1
96	she	0	res/Sprs/rolepainting/monster_half-monster_TY_she01	256	256	0	1
97	she	0	res/Sprs/rolepainting/man-LH001_BH01	299	245	0	1
98	she	0	res/Sprs/rolepainting/man-LH001_BH02	271	180	0	1
99	she	0	res/Sprs/rolepainting/man-LH001_BH03	276	237	0	0.8
100	she	0	res/Sprs/rolepainting/man-LH001_BH04	187	289	170	0.7
101	she	0	res/Sprs/rolepainting/man-LH001_BH05	279	173	0	1
102	she	0	res/Sprs/rolepainting/man-LHman_SS01	301	215	0	1
103	she	0	res/Sprs/rolepainting/man-LHman_SS02	311	234	0	1.1
104	she	0	res/Sprs/rolepainting/man-LHman_SS03	248	213	-30	0.8
105	she	0	res/Sprs/rolepainting/monster_half-monster_TY_she01_old	256	256	0	1
106	she	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	184	251	30	0.4
107	she	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	248	228	0	0.7
108	she	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	172	261	30	0.4
109	she	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	255	205	0	0.8
110	niu	0	res/Sprs/rolepainting/monster_half-monster_TY_niu01	256	256	0	1
111	niu	0	res/Sprs/rolepainting/man-LH001_BH02	219	203	0	1
112	niu	0	res/Sprs/rolepainting/man-LH001_BH01	258	249	0	1
113	niu	0	res/Sprs/rolepainting/man-LH001_BH03	230	264	0	0.7
114	niu	0	res/Sprs/rolepainting/man-LH001_BH04	250	268	0	1
115	niu	0	res/Sprs/rolepainting/man-LH001_BH05	202	273	0	1
116	niu	0	res/Sprs/rolepainting/man-LHman_SS01	261	244	0	1
117	niu	0	res/Sprs/rolepainting/man-LHman_SS02	250	247	0	1
118	niu	0	res/Sprs/rolepainting/man-LHman_SS03	239	273	0	0.9
119	niu	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	204	292	0	0.7
120	niu	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	240	287	0	0.7
121	niu	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	175	313	0	0.5
122	niu	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	236	258	-10	0.8
123	tu	1	res/Sprs/rolepainting/monster_half-monster_Man_tu01	256	256	0	1
124	tu	1	res/Sprs/rolepainting/monster_half-monster_Man_tu01_old	256	256	0	1
125	tu	1	res/Sprs/rolepainting/man-LH001_BH01	296	306	0	1
126	tu	1	res/Sprs/rolepainting/man-LH001_BH02	223	248	0	1
127	tu	1	res/Sprs/rolepainting/man-LH001_BH03	246	250	0	0.7
128	tu	1	res/Sprs/rolepainting/man-LH001_BH04	206	345	150	1
129	tu	1	res/Sprs/rolepainting/man-LH001_BH05	227	254	0	1
130	tu	1	res/Sprs/rolepainting/man-LHman_SS01	272	254	0	1
131	tu	1	res/Sprs/rolepainting/man-LHman_SS02	285	272	0	1
132	tu	1	res/Sprs/rolepainting/man-LHman_SS03	279	299	0	1
133	tu	1	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	222	268	0	0.7
134	tu	1	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	263	252	-10	0.8
135	tu	1	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	274	237	0	0.8
136	tu	1	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	211	292	0	0.7
137	tu	2	res/Sprs/rolepainting/monster_half-monster_lady_tu01	256	256	0	1
138	tu	2	res/Sprs/rolepainting/monster_half-monster_lady_tu01_old	256	256	0	1
139	tu	2	res/Sprs/rolepainting/man-LH001_BH01	238	296	0	1
140	tu	2	res/Sprs/rolepainting/man-LH001_BH02	285	268	0	0.7
141	tu	2	res/Sprs/rolepainting/man-LH001_BH03	253	269	0	0.7
142	tu	2	res/Sprs/rolepainting/man-LH001_BH04	196	365	150	1
143	tu	2	res/Sprs/rolepainting/man-LH001_BH05	276	230	0	1
144	tu	2	res/Sprs/rolepainting/lady-LHlady_SS01	253	252	0	1
145	tu	2	res/Sprs/rolepainting/lady-LHlady_SS02	278	260	0	1
146	tu	2	res/Sprs/rolepainting/lady-LHlady_SS03	280	253	0	1
147	tu	2	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	275	262	0	1
148	tu	2	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	282	264	0	1
149	tu	2	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	271	276	-10	1.1
150	tu	2	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	287	235	0	1.1
151	lang	0	res/Sprs/rolepainting/monster_half-monster_TY_lang01	256	256	0	1
152	lang	0	res/Sprs/rolepainting/man-LH001_BH01	193	319	110	1
153	lang	0	res/Sprs/rolepainting/man-LH001_BH02	234	198	0	1
154	lang	0	res/Sprs/rolepainting/man-LH001_BH03	208	246	-25	0.6
155	lang	0	res/Sprs/rolepainting/man-LH001_BH04	197	351	150	1
156	lang	0	res/Sprs/rolepainting/man-LH001_BH05	154	227	0	1
157	lang	0	res/Sprs/rolepainting/man-LHman_SS01	269	256	0	1
158	lang	0	res/Sprs/rolepainting/man-LHman_SS02	274	266	0	1
159	lang	0	res/Sprs/rolepainting/man-LHman_SS03	221	273	-10	0.8
160	lang	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	175	276	0	0.3
161	lang	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	249	265	0	0.8
162	lang	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	193	280	0	0.5
163	lang	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	246	250	0	0.7
164	ji	0	res/Sprs/rolepainting/monster_half-monster_TY_ji01	256	256	0	1
165	ji	0	res/Sprs/rolepainting/man-LH001_BH01	280	277	0	1
166	ji	0	res/Sprs/rolepainting/man-LH001_BH02	258	175	0	1
167	ji	0	res/Sprs/rolepainting/man-LH001_BH03	266	224	0	0.7
168	ji	0	res/Sprs/rolepainting/man-LH001_BH04	299	231	0	1
169	ji	0	res/Sprs/rolepainting/man-LH001_BH05	212	225	0	1
170	ji	0	res/Sprs/rolepainting/man-LHman_SS01	294	229	0	1
171	ji	0	res/Sprs/rolepainting/man-LHman_SS02	280	243	0	1
172	ji	0	res/Sprs/rolepainting/man-LHman_SS03	284	246	0	1
173	ji	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	247	236	0	0.8
174	ji	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	270	229	-30	0.8
175	ji	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	262	208	-30	0.8
176	ji	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	226	263	0	0.7
177	yezhu	0	res/Sprs/rolepainting/monster_half-monster_TY_yezhu01	256	256	0	1
178	yezhu	0	res/Sprs/rolepainting/man-LH001_BH02	206	209	0	1
179	yezhu	0	res/Sprs/rolepainting/man-LH001_BH01	199	289	180	1
180	yezhu	0	res/Sprs/rolepainting/monster_half-monster_TY_yezhu01_shushengmao01	256	256	0	1
181	yezhu	0	res/Sprs/rolepainting/man-LH001_BH03	232	261	0	0.6
182	yezhu	0	res/Sprs/rolepainting/man-LH001_BH04	241	278	0	1
183	yezhu	0	res/Sprs/rolepainting/man-LH001_BH05	267	226	0	1
184	yezhu	0	res/Sprs/rolepainting/man-LHman_SS01	277	244	0	1
185	yezhu	0	res/Sprs/rolepainting/man-LHman_SS02	255	268	0	0.9
186	yezhu	0	res/Sprs/rolepainting/man-LHman_SS03	268	242	-10	1
187	yezhu	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	183	297	0	0.5
188	yezhu	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	229	279	-20	0.7
189	yezhu	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	234	276	0	0.6
190	yezhu	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	166	316	0	0.4
191	xiongmao	1	res/Sprs/rolepainting/man-LH001_BH01	295	276	0	1
192	xiongmao	1	res/Sprs/rolepainting/man-LH001_BH02	195	214	0	1
193	xiongmao	1	res/Sprs/rolepainting/man-LH001_BH03	262	276	0	1
194	xiongmao	1	res/Sprs/rolepainting/man-LH001_BH04	261	294	0	1
195	xiongmao	1	res/Sprs/rolepainting/man-LH001_BH05	269	295	0	1
196	xiongmao	1	res/Sprs/rolepainting/man-LHman_SS01	301	268	0	1
197	xiongmao	1	res/Sprs/rolepainting/man-LHman_SS02	267	290	0	1
198	xiongmao	1	res/Sprs/rolepainting/man-LHman_SS03	284	279	0	1
199	xiongmao	1	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_daoguan01	270	254	0	1
200	xiongmao	1	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_faji01	261	256	0	1
201	xiongmao	1	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_shushengmao01	264	253	0	1
202	xiongmao	1	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_touguan01	273	249	0	1
203	xiongmao	1	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_douli01	258	260	0	1
204	xiongmao	1	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	260	289	0	1
205	xiongmao	1	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	286	288	0	1
206	xiongmao	1	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	247	323	0	1
207	xiongmao	1	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	288	265	0	1
208	xiongmao	2	res/Sprs/rolepainting/man-LH001_BH01	295	276	0	1
209	xiongmao	2	res/Sprs/rolepainting/man-LH001_BH02	195	214	0	1
210	xiongmao	2	res/Sprs/rolepainting/man-LH001_BH03	262	276	0	1
211	xiongmao	2	res/Sprs/rolepainting/man-LH001_BH04	261	294	0	1
212	xiongmao	2	res/Sprs/rolepainting/man-LH001_BH05	269	295	0	1
213	xiongmao	2	res/Sprs/rolepainting/man-LHman_SS01	301	268	0	1
214	xiongmao	2	res/Sprs/rolepainting/man-LHman_SS02	267	290	0	1
215	xiongmao	2	res/Sprs/rolepainting/man-LHman_SS03	284	279	0	1
216	xiongmao	2	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_daoguan01	270	270	0	1
217	xiongmao	2	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_faji01	261	273	0	1
218	xiongmao	2	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_shushengmao01	263	276	0	1
219	xiongmao	2	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_touguan01	273	266	0	1
220	xiongmao	2	res/Sprs/rolepainting/xiongmaoi DLC-monster_TY_xiongmao01_douli01	262	288	0	1
221	xiongmao	2	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	263	299	0	1
222	xiongmao	2	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	277	298	0	1
223	xiongmao	2	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	284	274	0	1
224	xiongmao	2	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	251	329	0	1
